,id,...1.x,x070,x075,x080,x085,x090,x095,x099,x100,more_than_one_mutant,first_mutant_init_time,pop_radius_at_first_mut_init,mu_driver_birth,s_driver_birth,birth_rate_end_mean,sr1,...1.y,sweep_complete_time,sweep_complete_size,sweep_complete_ID,sim_length,sim_size
1,00000000,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,234.301971,27.50098707,1e-05,2,5.766986,5.296651111,1,283.771912,16132,3,425.095093,1e+06
2,00000000a,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,443.688599,57.95520614,1e-05,0.05,1.407883362,0.453203736,501,0,0,0,2000,818120
3,00000000aa,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,681.24292,94.75194109,1e-05,0.05,1.299551982,0.332835536,1,0,0,0,2000,373643
4,00000000d,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,414.703003,53.85573027,1e-05,0.075,1.691151704,0.767946338,1,0,0,0,425.095093,1e+06
5,00000001,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,209.097885,24.4301256,1e-05,2,10,10,2,242.50174,16439,2,323.748505,1e+06
6,00000001a,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,501.427429,59.51598452,1e-05,0.05,1.386428486,0.429364984,502,0,0,0,2000,379439
7,00000001aa,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,727.480652,98.92642443,1e-05,0.05,1.470886874,0.523207638,2,0,0,0,2000,962242
8,00000001d,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,431.258301,55.95156594,1e-05,0.075,1.640540343,0.711711492,2,0,0,0,323.748505,1e+06
9,00000002,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.678482,21.52810243,1e-05,2,4.608454,4.009393333,3,217.601883,8112,1,410.432404,1e+06
10,00000002a,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,331.626587,35.10238695,1e-05,0.05,1.314273476,0.349192751,503,0,0,0,2000,590070
11,00000002aa,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,172.82074,22.41189417,1e-05,0.05,1.324519915,0.360577683,3,0,0,0,2000,435429
12,00000002d,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,436.548492,56.33991644,1e-05,0.075,1.503075344,0.558972604,3,0,0,0,410.432404,1e+06
13,00000003,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67.356949,6.307831305,1e-05,2,10,10,4,80.055161,4264,1,169.976242,1e+06
14,00000003a,7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,247.005096,30.77808021,1e-05,0.05,1.340226667,0.37802963,504,0,0,0,2000,774370
15,00000003aa,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,536.296509,66.77011507,1e-05,0.05,1.513772598,0.570858442,4,0,0,0,2000,846288
16,00000003d,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,410.727844,50.90853655,1e-05,0.075,1.490617746,0.545130829,4,0,0,0,169.976242,1e+06
17,00000004,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,205.54332,29.13644567,1e-05,2,9.511971556,9.457746173,5,219.615036,13847,1,309.500122,1e+06
