"","id","...1.x","x070","x075","x080","x085","x090","x095","x099","x100","more_than_one_mutant","first_mutant_init_time","pop_radius_at_first_mut_init","mu_driver_birth","s_driver_birth","birth_rate_end_mean","sr1","...1.y","sweep_complete_time","num_cell"
"1","00000000",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,139.376099,17.5264970725451,1e-05,2,10,10,1,153.748276,5201
"2","00000000a",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,207.383759,26.37850282,1e-05,0.15,5.725065791,5.25007310111111,1,486.779022,59118
"3","00000000b",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,229.533829,24.24702785,1e-05,0.05,1.418617209,0.465130232222222,1,0,1
"4","00000000bb",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,493.068481,66.3348767,1e-05,0.05,2.389165957,1.54351773,2,0,1
"5","00000000d",1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,344.710938,43.84373847,1e-05,0.075,3.016175653,2.24019517,1,0,1
"6","00000001",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,203.739914,23.6559777667285,1e-05,2,9.642906652575,9.60322961397222,2,266.502014,17045
"7","00000001a",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,297.218719,38.18192345,1e-05,0.15,6.115771987,5.68419109666667,2,467.516113,51443
"8","00000001b",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,110.657471,10.73443891,1e-05,0.05,1.94304847,1.04783163333333,3,0,1
"9","00000001bb",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,550.228943,72.84821496,1e-05,0.05,2.041511989,1.15723554333333,4,0,1
"10","00000001d",2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,458.604218,61.0681474,1e-05,0.075,3.189054118,2.43228235333333,2,0,1
"11","00000002",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,201.62999,26.9046098206923,1e-05,2,9.877479064611,9.86386562734556,3,217.606308,7003
"12","00000002a",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,418.896515,58.03753282,1e-05,0.15,6.570068448,6.18896494222222,3,821.628723,198359
"13","00000002b",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,412.639191,45.08577307,1e-05,0.05,1.484108892,0.537898768888889,5,0,1
"14","00000002bb",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,387.834015,52.27514106,1e-05,0.05,1.42023458,0.466927311111111,6,0,1
"15","00000002d",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,707.559875,99.30377774,1e-05,0.075,3.210017805,2.45557533888889,3,1389.631348,425122
"16","00000003",4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.437424,19.1495118453533,1e-05,2,10,10,4,177.120728,11178
"17","00000003a",4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.437424,19.14922946,1e-05,0.15,5.592944245,5.10327138333333,4,369.132812,46788
"18","00000003b",7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,441.213165,57.32010681,1e-05,0.05,1.934288341,1.03809815666667,7,1614.780151,442189
"19","00000003bb",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,876.275574,122.4629343,1e-05,0.05,1.606163084,0.673514537777778,8,0,1
"20","00000003d",4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,660.869995,91.33948827,1e-05,0.075,2.930512739,2.14501415444444,4,0,1
"21","00000004",5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,255.253265,35.5131097555171,1e-05,2,9.477066050069,9.41896227785444,5,273.620392,25291
"22","00000004a",5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,295.240356,40.63731893,1e-05,0.15,6.44157402,6.04619335555556,5,0,1
"23","00000004b",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,368.464142,50.02233516,1e-05,0.05,1.668602004,0.742891115555556,9,0,1
"24","00000004bb",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,757.200562,106.4660277,1e-05,0.05,1.464988541,0.516653934444445,10,0,1
"25","00000004d",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,559.425781,78.95026404,1e-05,0.075,2.521912352,1.69101372444444,5,0,1
"26","00000005",6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.105621,19.6013102622781,1e-05,2,10,10,6,208.015625,13111
"27","00000005a",6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,198.253708,23.95647563,1e-05,0.15,6.419418669,6.02157629888889,6,812.042358,162954
"28","00000005b",11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,646.01062,85.91442225,1e-05,0.05,1.46830621,0.520340233333333,11,0,1
"29","00000005bb",12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,192.769531,21.98168345,1e-05,0.05,1.454715773,0.505239747777778,12,0,1
"30","00000005d",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,560.716858,71.73199642,1e-05,0.075,2.462020432,1.62446714666667,6,0,1
"31","00000006",7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.636894,11.7943004387462,1e-05,2,10,10,7,110.674271,3789
"32","00000006a",7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,334.905334,47.79321859,1e-05,0.15,5.756240641,5.28471182333333,7,676.717468,102375
"33","00000006b",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,946.194519,123.237655,1e-05,0.05,1.475944577,0.528827307777778,13,0,1
"34","00000006bb",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,601.190979,89.91525343,1e-05,0.05,1.591683359,0.657425954444444,14,0,1
"35","00000006d",7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,389.027405,53.47017297,1e-05,0.075,3.504913945,2.78323771666667,7,0,1
"36","00000007",8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,226.536743,25.2190782923493,1e-05,2,10,10,8,247.027084,11091
"37","00000007a",8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,225.861649,25.31948086,1e-05,0.15,5.987909966,5.54212218444444,8,375.03476,27904
"38","00000007b",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,480.662262,61.95562055,1e-05,0.05,1.650706036,0.723006706666667,15,0,1
"39","00000007bb",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,236.631531,27.3791852,1e-05,0.05,2.175952636,1.30661404,16,1074.050415,166685
"40","00000007d",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,478.650238,60.95597839,1e-05,0.075,2.7943128,1.99368088888889,8,0,1
"41","00000008",9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,163.809601,17.8147219009829,1e-05,2,10,10,9,266.496033,14291
"42","00000008a",9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,163.809601,17.8144592,1e-05,0.15,5.485584552,4.98398283555556,9,0,1
"43","00000008b",17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,442.53244,57.12541425,1e-05,0.05,1.248527402,0.276141557777778,17,0,1
"44","00000008bb",18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,429.937775,49.67432171,1e-05,0.05,1.83417859,0.9268651,18,0,1
"45","00000008d",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,257.252533,30.63814378,1e-05,0.075,3.169679722,2.41075524666667,9,0,1
"46","00000009",10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,117.652107,11.901767811265,1e-05,2,10,10,10,211.697861,6587
"47","00000009a",10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,397.161255,52.78414946,1e-05,0.15,5.978484374,5.53164930444444,10,1068.707642,896764
"48","00000009b",19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,985.089539,125.3351953,1e-05,0.05,1.358823831,0.398693145555556,19,0,1
"49","00000009bb",20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,326.940033,38.00226248,1e-05,0.05,1.704654336,0.782949262222222,20,0,1
"50","00000009d",10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,352.267303,42.60658729,1e-05,0.075,2.854853549,2.06094838777778,10,996.729919,137757
"51","0000000A",11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265.649841,24.4239701914097,1e-05,2,9.99994524894,9.99993916548889,11,292.965271,19537
"52","0000000Aa",11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,412.837463,46.17746125,1e-05,0.15,5.64514249,5.16126943333333,11,0,1
"53","0000000Ad",11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,549.385864,63.86815475,1e-05,0.075,3.457959025,2.73106558333333,11,0,1
"54","0000000B",12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,115.117882,13.2676508339015,1e-05,2,10,10,12,132.880463,6786
"55","0000000Ba",12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,286.821899,33.99212978,1e-05,0.15,5.827666993,5.36407443666667,12,0,1
"56","0000000Bbb",24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,403.925812,48.7950607,1e-05,0.05,1.469334205,0.52148245,23,0,1
"57","0000000Bbb",24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,403.925812,48.7950607,1e-05,0.05,1.469334205,0.52148245,24,0,1
"58","0000000Bd",12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,172.644226,20.41243839,1e-05,0.075,3.19825798,2.44250886666667,12,569.932007,44977
"59","0000000C",13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,168.700134,18.4640175125169,1e-05,2,10,10,13,0,1
"60","0000000Ca",13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.700134,18.46374523,1e-05,0.15,6.97729892,6.64144324444444,13,414.359009,23581
"61","0000000Cb",25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,473.651611,60.67858315,1e-05,0.05,1.53439874,0.593776377777778,25,0,1
"62","0000000Cbb",26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,168.700134,18.46374523,1e-05,0.05,1.795389056,0.883765617777778,26,0,1
"63","0000000Cd",13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.700134,18.46374523,1e-05,0.075,3.160769891,2.40085543444444,13,1013.375366,113820
"64","0000000D",14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,282.238007,29.0438647000523,1e-05,2,9.961486271139,9.95720696793222,14,309.00354,17521
"65","0000000Da",14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,355.320221,40.9494381,1e-05,0.15,5.828543723,5.36504858111111,14,1006.020264,338274
"66","0000000Db",27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,422.040833,47.84314362,1e-05,0.05,1.945448501,1.05049833444444,27,0,1
"67","0000000Dbb",28,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,379.020233,43.89452974,1e-05,0.05,1.835788499,0.928653887777778,28,0,1
"68","0000000Dd",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,549.181274,66.07283927,1e-05,0.075,3.05645632,2.28495146666667,14,0,1
"69","0000000E",15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.583328,9.91769407360929,1e-05,2,9.654492740553,9.61610304505889,15,146.515671,4251
"70","0000000Ea",15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,433.700226,51.35365038,1e-05,0.15,7.43993136,7.15547928888889,15,822.595825,166665
"71","0000000Eb",29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,310.059662,34.89319869,1e-05,0.05,1.64945215,0.7216135,29,1142.116943,186939
"72","0000000Ebb",30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,427.239197,52.71777325,1e-05,0.05,1.374245791,0.415828656666667,30,0,1
"73","0000000Ed",15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,653.96759,86.74036419,1e-05,0.075,3.834361733,3.14929081444444,15,0,1
"74","0000000F",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,219.965271,22.65941281976,1e-05,2,9.956294457567,9.95143828618555,16,240.193756,12880
"75","0000000Fa",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,219.965271,22.66610148,1e-05,0.15,6.04668578,5.60742864444444,16,447.208923,22091
"76","0000000Fb",31,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,354.454285,44.51023176,1e-05,0.05,1.919262814,1.02140312666667,31,0,1
"77","0000000Fbb",32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,506.286865,63.19175201,1e-05,0.05,1.987012695,1.09668077222222,32,0,1
"78","0000000Fd",16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,852.461304,112.9802848,1e-05,0.075,2.902921496,2.11435721777778,16,0,1
"79","00000010",17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.312266,1.12839580685512,1e-05,2,10,10,17,6.1798,66
"80","00000010a",17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.312266,1.128379167,1e-05,0.15,6.392242142,5.99138015777778,17,8.19477,11
"81","00000010b",33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,355.48233,49.16225143,1e-05,0.05,1.419705255,0.466339172222222,33,0,1
"82","00000010bb",34,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,366.399597,45.75504476,1e-05,0.05,1.713700595,0.793000661111111,34,0,1
"83","00000010d",17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,456.378693,58.65672647,1e-05,0.075,2.294895088,1.43877232,17,0,1
"84","00000011",18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,131.413773,16.4296909450173,1e-05,2,9.305821734449,9.22869081605444,18,153.506897,6033
"85","00000011a",18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,274.852325,32.18354191,1e-05,0.15,7.87447713,7.63830792222222,18,0,1
"86","00000011b",35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,139.013748,15.48183918,1e-05,0.05,1.432831397,0.480923774444444,35,0,1
"87","00000011bb",36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,505.88028,64.22351209,1e-05,0.05,1.447470982,0.49718998,36,0,1
"88","00000011d",18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,204.670334,24.02944306,1e-05,0.075,2.673450128,1.85938903111111,18,849.5495,140330
"89","00000012",19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69.061386,7.63232776972177,1e-05,2,9.788245271731,9.76471696859,19,81.806267,1846
