,index,log2_deme,migration_rate,normal_birth_rate
0,00000072,1,0.05,0.71428571428
1,00000321,3,0.25,0.95238095238
2,000007DD,7,0.05,0.90909090909
3,000004B8,4,0.75,0.95238095238
4,000008CF,8,0.01,0.90909090909
5,00000811,7,0.1,0.83333333333
6,000000C9,1,0.5,0.95238095238
7,0000016B,2,0.025,0.95238095238
8,00000419,4,0.05,0.95238095238
9,000003EF,4,0.025,0.95238095238
10,000002C5,3,0.025,0.83333333333
11,00000727,6,0.5,0.71428571428
12,000003D5,4,0.01,0.83333333333
13,000007DA,7,0.05,0.90909090909
14,00000017,1,0.01,0.83333333333
15,000006C4,6,0.1,0.90909090909
16,000009F8,8,1.0,0.71428571428
17,00000213,2,0.5,0.90909090909
18,00000635,5,1.0,0.83333333333
19,000003A3,3,1.0,0.90909090909
20,0000065C,6,0.01,0.83333333333
21,00000900,8,0.025,0.83333333333
22,0000020E,2,0.5,0.95238095238
23,00000184,2,0.025,0.83333333333
24,00000908,8,0.025,0.71428571428
25,000000D3,1,0.5,0.90909090909
26,0000019D,2,0.05,0.90909090909
27,000003E4,4,0.01,0.71428571428
28,0000077E,6,1.0,0.71428571428
29,00000711,6,0.5,0.95238095238
30,0000073A,6,0.75,0.90909090909
31,000007E9,7,0.05,0.83333333333
32,00000745,6,0.75,0.83333333333
33,0000061D,5,1.0,0.95238095238
34,0000049B,4,0.5,0.90909090909
35,00000389,3,0.75,0.83333333333
36,00000360,3,0.5,0.83333333333
37,0000094C,8,0.1,0.83333333333
38,00000270,2,1.0,0.83333333333
39,00000376,3,0.75,0.95238095238
40,000001D2,2,0.1,0.83333333333
41,00000016,1,0.01,0.83333333333
42,000009B0,8,0.75,0.95238095238
43,00000421,4,0.05,0.90909090909
44,000008B3,7,1.0,0.83333333333
45,000000D9,1,0.5,0.90909090909
46,000009C1,8,0.75,0.90909090909
47,00000140,2,0.01,0.95238095238
48,000007C4,7,0.025,0.83333333333
49,00000439,4,0.1,0.95238095238
50,0000021A,2,0.5,0.90909090909
51,0000060B,5,0.75,0.83333333333
52,00000946,8,0.1,0.90909090909
53,00000587,5,0.1,0.90909090909
54,00000222,2,0.5,0.83333333333
55,000005AF,5,0.25,0.90909090909
56,00000295,3,0.01,0.83333333333
57,000002E9,3,0.05,0.83333333333
58,000002D5,3,0.05,0.95238095238
59,00000090,1,0.1,0.83333333333
60,00000714,6,0.5,0.90909090909
61,000003B6,3,1.0,0.71428571428
62,000001BA,2,0.1,0.95238095238
63,000009A5,8,0.5,0.83333333333
64,000005BC,5,0.25,0.83333333333
65,00000551,5,0.05,0.95238095238
66,000007CE,7,0.025,0.71428571428
67,00000456,4,0.1,0.71428571428
68,00000412,4,0.05,0.95238095238
69,00000625,5,1.0,0.90909090909
70,000000D8,1,0.5,0.90909090909
71,0000016A,2,0.025,0.95238095238
72,00000528,5,0.025,0.95238095238
73,000006E8,6,0.25,0.95238095238
74,0000022A,2,0.5,0.71428571428
75,000001AA,2,0.05,0.83333333333
76,000008D3,8,0.01,0.90909090909
77,0000036B,3,0.5,0.71428571428
78,0000034A,3,0.5,0.95238095238
79,00000561,5,0.05,0.90909090909
80,000002FE,3,0.1,0.95238095238
81,000008A1,7,1.0,0.95238095238
82,00000176,2,0.025,0.90909090909
83,00000015,1,0.01,0.83333333333
84,00000255,2,0.75,0.71428571428
85,0000071D,6,0.5,0.83333333333
86,00000824,7,0.25,0.95238095238
87,000007E0,7,0.05,0.90909090909
88,000007E2,7,0.05,0.90909090909
89,0000007E,1,0.1,0.95238095238
90,000007A3,7,0.01,0.71428571428
91,000008C3,8,0.01,0.95238095238
92,00000603,5,0.75,0.90909090909
93,0000098C,8,0.5,0.95238095238
94,0000090A,8,0.025,0.71428571428
95,0000011D,1,1.0,0.95238095238
96,000005A0,5,0.25,0.95238095238
97,000006B5,6,0.05,0.71428571428
98,00000068,1,0.05,0.83333333333
99,00000181,2,0.025,0.83333333333
100,00000290,3,0.01,0.90909090909
101,000006D1,6,0.1,0.83333333333
102,0000015F,2,0.01,0.71428571428
103,000003B3,3,1.0,0.83333333333
104,000006EC,6,0.25,0.90909090909
105,00000496,4,0.5,0.90909090909
106,00000315,3,0.1,0.83333333333
107,000008E6,8,0.01,0.71428571428
108,00000679,6,0.025,0.90909090909
109,00000869,7,0.5,0.71428571428
110,0000003C,1,0.025,0.83333333333
111,00000116,1,0.75,0.71428571428
112,000001A3,2,0.05,0.90909090909
113,00000960,8,0.25,0.95238095238
114,000004F1,4,1.0,0.83333333333
115,0000012D,1,1.0,0.83333333333
116,0000013D,1,1.0,0.71428571428
117,000008A9,7,1.0,0.90909090909
118,000000AD,1,0.25,0.90909090909
119,000005C4,5,0.25,0.71428571428
120,0000037D,3,0.75,0.90909090909
121,000001C4,2,0.1,0.90909090909
122,000007F2,7,0.05,0.71428571428
123,00000831,7,0.25,0.90909090909
124,00000719,6,0.5,0.90909090909
125,000008CB,8,0.01,0.90909090909
126,000007F6,7,0.05,0.71428571428
127,000009E4,8,1.0,0.90909090909
128,0000050D,5,0.01,0.90909090909
129,0000032C,3,0.25,0.90909090909
130,0000075E,6,1.0,0.95238095238
131,00000580,5,0.1,0.95238095238
132,00000330,3,0.25,0.90909090909
133,000008CC,8,0.01,0.90909090909
134,0000015E,2,0.01,0.71428571428
135,00000042,1,0.025,0.83333333333
136,00000585,5,0.1,0.90909090909
137,000008FF,8,0.025,0.83333333333
138,000008F2,8,0.025,0.90909090909
139,00000828,7,0.25,0.95238095238
140,00000177,2,0.025,0.90909090909
141,000009DC,8,1.0,0.95238095238
142,00000196,2,0.05,0.95238095238
143,00000328,3,0.25,0.95238095238
144,00000111,1,0.75,0.71428571428
145,00000110,1,0.75,0.71428571428
146,00000951,8,0.1,0.83333333333
147,0000016C,2,0.025,0.95238095238
148,000000FC,1,0.75,0.90909090909
