,index,mu_driver_birth,s_driver_birth
1,00000000a,1e-05,0.05
2,00000000aa,1e-05,0.05
3,00000001a,1e-05,0.05
4,00000001aa,1e-05,0.05
5,00000002a,1e-05,0.05
6,00000002aa,1e-05,0.05
7,00000003a,1e-05,0.05
8,00000003aa,1e-05,0.05
9,00000004a,1e-05,0.05
10,00000004aa,1e-05,0.05
11,00000005a,1e-05,0.05
12,00000005aa,1e-05,0.05
13,00000006a,1e-05,0.05
14,00000006aa,1e-05,0.05
15,00000007a,1e-05,0.05
16,00000007aa,1e-05,0.05
17,00000008a,1e-05,0.05
18,00000008aa,1e-05,0.05
19,00000009a,1e-05,0.05
20,00000009aa,1e-05,0.05
21,0000000Aa,1e-05,0.05
22,0000000Aaa,1e-05,0.05
23,0000000Ba,1e-05,0.05
24,0000000Baa,1e-05,0.05
25,0000000Ca,1e-05,0.05
26,0000000Caa,1e-05,0.05
27,0000000Da,1e-05,0.05
28,0000000Daa,1e-05,0.05
29,0000000Ea,1e-05,0.05
30,0000000Eaa,1e-05,0.05
31,0000000Fa,1e-05,0.05
32,0000000Faa,1e-05,0.05
33,00000010a,1e-05,0.05
34,00000010aa,1e-05,0.05
35,00000011a,1e-05,0.05
36,00000011aa,1e-05,0.05
37,00000012a,1e-05,0.05
38,00000012aa,1e-05,0.05
39,00000013a,1e-05,0.05
40,00000013aa,1e-05,0.05
41,00000014a,1e-05,0.05
42,00000014aa,1e-05,0.05
43,00000015a,1e-05,0.05
44,00000015aa,1e-05,0.05
45,00000016a,1e-05,0.05
46,00000016aa,1e-05,0.05
47,00000017a,1e-05,0.05
48,00000017aa,1e-05,0.05
49,00000018a,1e-05,0.05
50,00000018aa,1e-05,0.05
51,00000019a,1e-05,0.05
52,00000019aa,1e-05,0.05
53,0000001Aa,1e-05,0.05
54,0000001Aaa,1e-05,0.05
55,0000001Ba,1e-05,0.05
56,0000001Baa,1e-05,0.05
57,0000001Ca,1e-05,0.05
58,0000001Caa,1e-05,0.05
59,0000001Da,1e-05,0.05
60,0000001Daa,1e-05,0.05
61,0000001Ea,1e-05,0.05
62,0000001Eaa,1e-05,0.05
63,0000001Fa,1e-05,0.05
64,0000001Faa,1e-05,0.05
65,00000020a,1e-05,0.05
66,00000020aa,1e-05,0.05
