,index,birth_rate_end_mean
1,00000000b,1.418617209
2,00000000bb,2.389165957
3,00000001b,1.94304847
4,00000001bb,2.041511989
5,00000002b,1.484108892
6,00000002bb,1.42023458
7,00000003b,1.934288341
8,00000003bb,1.606163084
9,00000004b,1.668602004
10,00000004bb,1.464988541
11,00000005b,1.46830621
12,00000005bb,1.454715773
13,00000006b,1.475944577
14,00000006bb,1.591683359
15,00000007b,1.650706036
16,00000007bb,2.175952636
17,00000008b,1.248527402
18,00000008bb,1.83417859
19,00000009b,1.358823831
20,00000009bb,1.704654336
21,0000000bb,1.529770098
22,0000000bbb,2.134501141
23,0000000Bb,1.366749811
24,0000000Bbb,1.469334205
25,0000000Cb,1.53439874
26,0000000Cbb,1.795389056
27,0000000Db,1.945448501
28,0000000Dbb,1.835788499
29,0000000Eb,1.64945215
30,0000000Ebb,1.374245791
31,0000000Fb,1.919262814
32,0000000Fbb,1.987012695
33,00000010b,1.419705255
34,00000010bb,1.713700595
35,00000011b,1.432831397
36,00000011bb,1.447470982
37,00000012b,1.435085155
38,00000012bb,1.760631128
39,00000013b,1.560748956
40,00000013bb,1.666838398
41,00000014b,1.575830793
42,00000014bb,1.471280639
43,00000015b,1.658080714
44,00000015bb,1.577152279
45,00000016b,1.897766153
46,00000016bb,1.673522228
47,00000017b,1.37820992
48,00000017bb,1.788336244
49,00000018b,1.355120783
50,00000018bb,1.50345418
51,00000019b,1.767185183
52,00000019bb,1.676141292
53,0000001bb,1.698236953
54,0000001bbb,1.688909412
55,0000001Bb,2.259244857
56,0000001Bbb,2.008516727
57,0000001Cb,1.941478773
58,0000001Cbb,1.296717684
59,0000001Db,1.605806665
60,0000001Dbb,1.403171615
61,0000001Eb,1.612415122
62,0000001Ebb,2.169455461
63,0000001Fb,1.407916056
64,0000001Fbb,1.930938266
65,00000020b,1.512354779
66,00000020bb,1.859272449
67,00000021b,1.664351793
68,00000021bb,2.72425656
69,00000022b,2.089747497
70,00000022bb,1.621203145
71,00000023b,1.625920116
72,00000023bb,1.676005621
73,00000024b,1.518170548
74,00000024bb,1.476005883
75,00000025b,1.691381558
76,00000025bb,1.976020662
77,00000026b,1.323695799
78,00000026bb,1.621908316
79,00000027b,1.658006772
80,00000027bb,1.560164746
81,00000028b,1.746599932
82,00000028bb,2.007347669
83,00000029b,1.285609465
84,00000029bb,1.529539014
85,0000002bb,1.644692026
86,0000002bbb,1.617364135
87,0000002Bb,1.793539899
88,0000002Bbb,1.689287068
89,0000002Cb,1.942804204
90,0000002Cbb,1.512344347
91,0000002Db,1.508614049
92,0000002Dbb,1.381182342
93,0000002Eb,1.562273339
94,0000002Ebb,1.827148207
95,0000002Fb,1.764993244
96,0000002Fbb,1.386137465
97,00000030b,1.488433692
98,00000030bb,1.510342226
99,00000031b,1.872520757
100,00000031bb,1.80558096
101,00000032b,1.635784192
102,00000032bb,1.623267905
103,00000033b,1.538093507
104,00000033bb,1.838773871
105,00000034b,1.572610318
106,00000034bb,1.529739002
107,00000035b,1.599820532
108,00000035bb,1.651877454
109,00000036b,1.639715338
110,00000036bb,1.36594017
111,00000037b,1.756739496
112,00000037bb,1.619020974
113,00000038b,1.26787956
114,00000038bb,1.843763552
115,00000039b,1.55143312
116,00000039bb,1.619031338
117,0000003bb,1.771317088
118,0000003bbb,2.316887463
119,0000003Bb,1.565412167
120,0000003Bbb,1.862519715
121,0000003Cb,1.779088351
122,0000003Cbb,1.579433395
123,0000003Db,1.311839494
124,0000003Dbb,1.443446499
125,0000003Eb,1.850741794
126,0000003Ebb,1.898011441
127,0000003Fb,1.652345162
128,0000003Fbb,2.055551537
129,00000040b,1.81698536
130,00000040bb,1.478285042
131,00000041b,1.365377328
132,00000041bb,1.47208515
133,00000042b,2.468228841
134,00000042bb,1.78190603
135,00000043b,2.059370409
136,00000043bb,1.513029214
137,00000044b,1.973111371
138,00000044bb,1.672090407
139,00000045b,1.920173855
140,00000045bb,1.856568871
141,00000046b,1.643794356
142,00000046bb,1.543033213
143,00000047b,2.111900488
144,00000047bb,2.309302993
145,00000048b,1.76141202
146,00000048bb,1.644123016
147,00000049b,1.763359061
148,00000049bb,1.752521849
149,0000004bb,1.821168358
150,0000004bbb,1.341511748
151,0000004Bb,1.618322438
152,0000004Bbb,1.527979153
153,0000004Cb,1.746041247
154,0000004Cbb,1.943356501
155,0000004Db,1.406507161
156,0000004Dbb,1.4002009
157,0000004Eb,1.34351378
158,0000004Ebb,1.675024256
159,0000004Fb,1.808226477
160,0000004Fbb,1.508718839
161,00000050b,1.746296353
162,00000050bb,1.555136091
163,00000051b,1.691332714
164,00000051bb,1.415385852
165,00000052b,1.365088529
166,00000052bb,1.44032731
167,00000053b,1.573181866
168,00000053bb,1.530136388
169,00000054b,1.484181373
170,00000054bb,2.445991429
171,00000055b,1.990026829
172,00000055bb,1.966856531
173,00000056b,1.907744915
174,00000056bb,1.305428256
175,00000057b,1.647607999
176,00000057bb,1.731931583
177,00000058b,2.348656399
178,00000058bb,1.665549527
179,00000059b,1.334571825
180,00000059bb,1.615030768
181,0000005bb,1.964181965
182,0000005bbb,1.293975406
183,0000005Bb,2.196053355
184,0000005Bbb,1.627102252
185,0000005Cb,1.937975277
186,0000005Cbb,1.502075752
187,0000005Db,2.11016367
188,0000005Dbb,1.747565342
189,0000005Eb,1.431653993
190,0000005Ebb,1.676727646
191,0000005Fb,1.56864035
192,0000005Fbb,1.342508632
193,00000060b,1.600158084
194,00000060bb,1.230017556
195,00000061b,1.919229704
196,00000061bb,1.777613625
197,00000062b,1.509320828
198,00000062bb,1.552156505
199,00000063b,1.343607871
200,00000063bb,1.625981378
201,00000064b,1.830847393
202,00000064bb,1.839505649
203,00000065b,1.790512757
204,00000065bb,1.790821649
205,00000066b,1.858088475
206,00000066bb,1.578066876
207,00000067b,1.460833222
208,00000067bb,2.010873437
209,00000068b,1.713954337
210,00000068bb,1.799145791
211,00000069b,1.67860847
212,00000069bb,1.411767941
213,0000006bb,1.281132734
214,0000006bbb,1.594099152
215,0000006Bb,1.785443863
216,0000006Bbb,1.407573467
217,0000006Cb,1.820810784
218,0000006Cbb,1.946247046
219,0000006Db,1.68766178
220,0000006Dbb,1.440877275
221,0000006Eb,1.615347568
222,0000006Ebb,1.532982441
223,0000006Fb,1.29533491
224,0000006Fbb,1.89905852
225,00000070b,1.411162667
226,00000070bb,1.821834915
227,00000071b,1.536444996
228,00000071bb,1.722065646
229,00000072b,1.676478827
230,00000072bb,1.537000813
231,00000073b,1.791229074
232,00000073bb,1.972666386
233,00000074b,1.574074324
234,00000074bb,1.396737533
235,00000075b,1.580711333
236,00000075bb,1.737276058
237,00000076b,1.241644785
238,00000076bb,2.046504375
239,00000077b,1.521744744
240,00000077bb,1.472591332
241,00000078b,1.495278272
242,00000078bb,2.09138918
243,00000079b,1.516316467
244,00000079bb,2.672339153
245,0000007bb,1.884866374
246,0000007bbb,1.900704904
247,0000007Bb,1.799642433
248,0000007Bbb,1.857337675
249,0000007Cb,1.402336792
250,0000007Cbb,1.476846561
251,0000007Db,1.496059402
252,0000007Dbb,1.672401556
253,0000007Eb,1.349306217
254,0000007Ebb,1.460614367
255,0000007Fb,2.079769544
256,0000007Fbb,1.596220577
257,00000080b,1.323778858
258,00000080bb,1.724955334
259,00000081b,1.394366025
260,00000081bb,1.359681887
261,00000082b,1.490217064
262,00000082bb,2.188340888
263,00000083b,1.650984318
264,00000083bb,1.51579822
265,00000084b,2.003000839
266,00000084bb,2.02229293
267,00000085b,1.837378119
268,00000085bb,1.24104747
269,00000086b,1.904373076
270,00000086bb,1.88578071
271,00000087b,2.27449811
272,00000087bb,2.012247525
273,00000088b,1.38634327
274,00000088bb,1.552826722
275,00000089b,2.078633954
276,00000089bb,1.709995701
277,0000008bb,1.925290315
278,0000008bbb,1.56776767
279,0000008Bb,1.640512658
280,0000008Bbb,1.567424504
281,0000008Cb,1.52014605
282,0000008Cbb,1.802034286
283,0000008Db,1.596303977
284,0000008Dbb,1.863679867
285,0000008Eb,1.750863468
286,0000008Ebb,1.501078884
287,0000008Fb,1.841414255
288,0000008Fbb,1.668436136
289,00000090b,2.072846313
290,00000090bb,1.573106042
291,00000091b,2.035379203
292,00000091bb,1.509962265
293,00000092b,1.539231993
294,00000092bb,1.604751935
295,00000093b,1.494924494
296,00000093bb,1.702697861
297,00000094b,2.250724416
298,00000094bb,1.800312784
299,00000095b,1.547449321
300,00000095bb,1.265859159
301,00000096b,2.200576754
302,00000096bb,1.652018879
303,00000097b,1.38322393
304,00000097bb,1.576833012
305,00000098b,1.572874239
306,00000098bb,1.739578623
307,00000099b,1.893091318
308,00000099bb,1.883530859
309,0000009bb,1.433715735
310,0000009bbb,1.387159306
311,0000009Bb,1.804469011
312,0000009Bbb,2.040276253
313,0000009Cb,1.583760026
314,0000009Cbb,1.525403917
315,0000009Db,1.501007381
316,0000009Dbb,1.191775857
317,0000009Eb,1.500847124
318,0000009Ebb,1.534361797
319,0000009Fb,1.413516127
320,0000009Fbb,1.732452147
321,000000b0b,1.469570602
322,000000b0bb,1.5318111
323,000000b1b,1.707246037
