,index,mu_driver_birth,s_driver_birth
1,00000000d,1e-05,0.075
2,00000001d,1e-05,0.075
3,00000002d,1e-05,0.075
4,00000003d,1e-05,0.075
5,00000004d,1e-05,0.075
6,00000005d,1e-05,0.075
7,00000006d,1e-05,0.075
8,00000007d,1e-05,0.075
9,00000008d,1e-05,0.075
10,00000009d,1e-05,0.075
11,0000000Ad,1e-05,0.075
12,0000000Bd,1e-05,0.075
13,0000000Cd,1e-05,0.075
14,0000000Dd,1e-05,0.075
15,0000000Ed,1e-05,0.075
16,0000000Fd,1e-05,0.075
17,00000010d,1e-05,0.075
18,00000011d,1e-05,0.075
19,00000012d,1e-05,0.075
20,00000013d,1e-05,0.075
21,00000014d,1e-05,0.075
22,00000015d,1e-05,0.075
23,00000016d,1e-05,0.075
24,00000017d,1e-05,0.075
25,00000018d,1e-05,0.075
26,00000019d,1e-05,0.075
27,0000001Ad,1e-05,0.075
28,0000001Bd,1e-05,0.075
29,0000001Cd,1e-05,0.075
30,0000001Dd,1e-05,0.075
31,0000001Ed,1e-05,0.075
32,0000001Fd,1e-05,0.075
33,00000020d,1e-05,0.075
34,00000021d,1e-05,0.075
35,00000022d,1e-05,0.075
36,00000023d,1e-05,0.075
37,00000024d,1e-05,0.075
38,00000025d,1e-05,0.075
39,00000026d,1e-05,0.075
40,00000027d,1e-05,0.075
41,00000028d,1e-05,0.075
42,00000029d,1e-05,0.075
43,0000002Ad,1e-05,0.075
44,0000002Bd,1e-05,0.075
45,0000002Cd,1e-05,0.075
46,0000002Dd,1e-05,0.075
47,0000002Ed,1e-05,0.075
48,0000002Fd,1e-05,0.075
49,00000030d,1e-05,0.075
50,00000031d,1e-05,0.075
51,00000032d,1e-05,0.075
52,00000033d,1e-05,0.075
53,00000034d,1e-05,0.075
54,00000035d,1e-05,0.075
55,00000036d,1e-05,0.075
56,00000037d,1e-05,0.075
57,00000038d,1e-05,0.075
58,00000039d,1e-05,0.075
59,0000003Ad,1e-05,0.075
60,0000003Bd,1e-05,0.075
61,0000003Cd,1e-05,0.075
62,0000003Dd,1e-05,0.075
63,0000003Ed,1e-05,0.075
64,0000003Fd,1e-05,0.075
65,00000040d,1e-05,0.075
66,00000041d,1e-05,0.075
67,00000042d,1e-05,0.075
68,00000043d,1e-05,0.075
69,00000044d,1e-05,0.075
70,00000045d,1e-05,0.075
71,00000046d,1e-05,0.075
72,00000047d,1e-05,0.075
73,00000048d,1e-05,0.075
74,00000049d,1e-05,0.075
75,0000004Ad,1e-05,0.075
76,0000004Bd,1e-05,0.075
77,0000004Cd,1e-05,0.075
78,0000004Dd,1e-05,0.075
79,0000004Ed,1e-05,0.075
80,0000004Fd,1e-05,0.075
81,00000050d,1e-05,0.075
82,00000051d,1e-05,0.075
83,00000052d,1e-05,0.075
84,00000053d,1e-05,0.075
85,00000054d,1e-05,0.075
86,00000055d,1e-05,0.075
87,00000056d,1e-05,0.075
88,00000057d,1e-05,0.075
89,00000058d,1e-05,0.075
90,00000059d,1e-05,0.075
91,0000005Ad,1e-05,0.075
92,0000005Bd,1e-05,0.075
93,0000005Cd,1e-05,0.075
94,0000005Dd,1e-05,0.075
95,0000005Ed,1e-05,0.075
96,0000005Fd,1e-05,0.075
97,00000060d,1e-05,0.075
98,00000061d,1e-05,0.075
99,00000062d,1e-05,0.075
100,00000063d,1e-05,0.075
101,00000064d,1e-05,0.075
102,00000065d,1e-05,0.075
103,00000066d,1e-05,0.075
104,00000067d,1e-05,0.075
105,00000068d,1e-05,0.075
106,00000069d,1e-05,0.075
107,0000006Ad,1e-05,0.075
108,0000006Bd,1e-05,0.075
109,0000006Cd,1e-05,0.075
110,0000006Dd,1e-05,0.075
111,0000006Ed,1e-05,0.075
112,0000006Fd,1e-05,0.075
113,00000070d,1e-05,0.075
114,00000071d,1e-05,0.075
115,00000072d,1e-05,0.075
116,00000073d,1e-05,0.075
117,00000074d,1e-05,0.075
118,00000075d,1e-05,0.075
119,00000076d,1e-05,0.075
120,00000077d,1e-05,0.075
121,00000078d,1e-05,0.075
122,00000079d,1e-05,0.075
123,0000007Ad,1e-05,0.075
124,0000007Bd,1e-05,0.075
125,0000007Cd,1e-05,0.075
126,0000007Dd,1e-05,0.075
127,0000007Ed,1e-05,0.075
128,0000007Fd,1e-05,0.075
129,00000080d,1e-05,0.075
130,00000081d,1e-05,0.075
131,00000082d,1e-05,0.075
132,00000083d,1e-05,0.075
133,00000084d,1e-05,0.075
134,00000085d,1e-05,0.075
135,00000086d,1e-05,0.075
136,00000087d,1e-05,0.075
137,00000088d,1e-05,0.075
138,00000089d,1e-05,0.075
139,0000008Ad,1e-05,0.075
140,0000008Bd,1e-05,0.075
141,0000008Cd,1e-05,0.075
142,0000008Dd,1e-05,0.075
143,0000008Ed,1e-05,0.075
144,0000008Fd,1e-05,0.075
145,00000090d,1e-05,0.075
146,00000091d,1e-05,0.075
147,00000092d,1e-05,0.075
148,00000093d,1e-05,0.075
149,00000094d,1e-05,0.075
150,00000095d,1e-05,0.075
151,00000096d,1e-05,0.075
152,00000097d,1e-05,0.075
153,00000098d,1e-05,0.075
154,00000099d,1e-05,0.075
155,0000009Ad,1e-05,0.075
156,0000009Bd,1e-05,0.075
157,0000009Cd,1e-05,0.075
158,0000009Dd,1e-05,0.075
159,0000009Ed,1e-05,0.075
160,0000009Fd,1e-05,0.075
161,000000A0d,1e-05,0.075
162,000000A1d,1e-05,0.075
163,000000A2d,1e-05,0.075
164,000000A3d,1e-05,0.075
165,000000A4d,1e-05,0.075
166,000000A5d,1e-05,0.075
167,000000A6d,1e-05,0.075
168,000000A7d,1e-05,0.075
169,000000A8d,1e-05,0.075
170,000000A9d,1e-05,0.075
171,000000AAd,1e-05,0.075
172,000000ABd,1e-05,0.075
173,000000ACd,1e-05,0.075
174,000000ADd,1e-05,0.075
175,000000AEd,1e-05,0.075
176,000000AFd,1e-05,0.075
177,000000B0d,1e-05,0.075
178,000000B1d,1e-05,0.075
179,000000B2d,1e-05,0.075
180,000000B3d,1e-05,0.075
181,000000B4d,1e-05,0.075
182,000000B5d,1e-05,0.075
183,000000B6d,1e-05,0.075
184,000000B7d,1e-05,0.075
185,000000B8d,1e-05,0.075
186,000000B9d,1e-05,0.075
187,000000BAd,1e-05,0.075
188,000000BBd,1e-05,0.075
189,000000BCd,1e-05,0.075
190,000000BDd,1e-05,0.075
191,000000BEd,1e-05,0.075
192,000000BFd,1e-05,0.075
193,000000C0d,1e-05,0.075
194,000000C1d,1e-05,0.075
195,000000C2d,1e-05,0.075
196,000000C3d,1e-05,0.075
197,000000C4d,1e-05,0.075
198,000000C5d,1e-05,0.075
199,000000C6d,1e-05,0.075
200,000000C7d,1e-05,0.075
201,000000C8d,1e-05,0.075
202,000000C9d,1e-05,0.075
203,000000CAd,1e-05,0.075
204,000000CBd,1e-05,0.075
205,000000CCd,1e-05,0.075
206,000000CDd,1e-05,0.075
207,000000CEd,1e-05,0.075
