,index,birth_rate_end_mean
1,00000000d,1.691151704
2,00000001d,1.640540343
3,00000002d,1.503075344
4,00000003d,1.490617746
5,00000004d,1.425938532
6,00000005d,1.92898357
7,00000006d,2.222763982
8,00000007d,1.584989526
9,00000008d,1.611604959
10,00000009d,1.938028
11,0000000Ad,1.469155057
12,0000000Bd,2.864083
13,0000000Cd,1.827046188
14,0000000Dd,1.697288423
15,0000000Ed,1.665411914
16,0000000Fd,1.527132106
17,00000010d,1.633840032
18,00000011d,1.56159908
19,00000012d,1.502804015
20,00000013d,1.747928378
21,00000014d,1.389330151
22,00000015d,1.731901249
23,00000016d,1.509478234
24,00000017d,1.708574611
25,00000018d,1.528505822
26,00000019d,1.516588542
27,0000001Ad,1.596543932
28,0000001Bd,1.476639355
29,0000001Cd,1.60732693
30,0000001Dd,1.611626772
31,0000001Ed,1.747408414
32,0000001Fd,1.613693853
33,00000020d,1.734174118
34,00000021d,1.608584347
35,00000022d,1.72871063
36,00000023d,1.854115
37,00000024d,1.54864
38,00000025d,1.551709956
39,00000026d,1.49140928
40,00000027d,1.665518337
41,00000028d,1.663320647
42,00000029d,1.6607287
43,0000002Ad,1.526605717
44,0000002Bd,1.581500183
45,0000002Cd,1.792700706
46,0000002Dd,1.737940141
47,0000002Ed,1.713703
48,0000002Fd,1.820233425
49,00000030d,1.623673161
50,00000031d,1.405613783
51,00000032d,1.82339
52,00000033d,1.37299496
53,00000034d,1.711105983
54,00000035d,1.477475408
55,00000036d,1.594975991
56,00000037d,1.484127024
57,00000038d,1.650838
58,00000039d,1.888241134
59,0000003Ad,1.934975403
60,0000003Bd,1.396070729
61,0000003Cd,1.637898
62,0000003Dd,1.4949589
63,0000003Ed,1.569554333
64,0000003Fd,1.599764016
65,00000040d,1.470907148
66,00000041d,1.709612407
67,00000042d,1.657768017
68,00000043d,1.748477466
69,00000044d,1.524521576
70,00000045d,1.522554327
71,00000046d,1.686830498
72,00000047d,1.67598318
73,00000048d,1.758410976
74,00000049d,1.497005981
75,0000004Ad,1.68730912
76,0000004Bd,1.668189072
77,0000004Cd,1.413870367
78,0000004Dd,1.556181873
79,0000004Ed,1.685776608
80,0000004Fd,1.721578187
81,00000050d,1.473791936
82,00000051d,1.76358124
83,00000052d,1.813602335
84,00000053d,1.571499891
85,00000054d,1.753116768
86,00000055d,1.827803921
87,00000056d,1.388903322
88,00000057d,2.028568435
89,00000058d,1.6896629
90,00000059d,1.714976036
91,0000005Ad,1.777644122
92,0000005Bd,1.911306403
93,0000005Cd,1.56554162
94,0000005Dd,1.546270398
95,0000005Ed,1.812037
96,0000005Fd,1.31935032
97,00000060d,1.627756975
98,00000061d,1.558418562
99,00000062d,1.503717065
100,00000063d,1.828368499
101,00000064d,1.606086769
102,00000065d,1.568740775
103,00000066d,1.438793542
104,00000067d,1.660246132
105,00000068d,1.757806688
106,00000069d,1.557339136
107,0000006Ad,1.54912556
108,0000006Bd,1.763201136
109,0000006Cd,1.550688952
110,0000006Dd,1.712385181
111,0000006Ed,1.726306447
112,0000006Fd,1.541787256
113,00000070d,1.443602592
114,00000071d,1.851045274
115,00000072d,1.612371074
116,00000073d,1.434886995
117,00000074d,1.531100571
118,00000075d,1.761158615
119,00000076d,1.575250686
120,00000077d,1.552735851
121,00000078d,1.848735948
122,00000079d,1.834568
123,0000007Ad,1.698163087
124,0000007Bd,1.520828013
125,0000007Cd,1.57368768
126,0000007Dd,1.466770584
127,0000007Ed,1.463779635
128,0000007Fd,1.427574
129,00000080d,1.729031986
130,00000081d,1.462012772
131,00000082d,1.391277474
132,00000083d,1.646329911
133,00000084d,1.868034023
134,00000085d,1.777070329
135,00000086d,1.500389698
136,00000087d,1.523435322
137,00000088d,2.023915735
138,00000089d,1.386093
139,0000008Ad,1.485359226
140,0000008Bd,1.943503164
141,0000008Cd,2.21524271
142,0000008Dd,1.650835313
143,0000008Ed,1.699983819
144,0000008Fd,1.513243109
145,00000090d,1.60459931
146,00000091d,1.64062618
147,00000092d,1.519823563
148,00000093d,1.582604885
149,00000094d,1.60602706
150,00000095d,1.623834782
151,00000096d,1.615386489
152,00000097d,1.70915602
153,00000098d,1.44153187
154,00000099d,1.465738648
155,0000009Ad,1.510427128
156,0000009Bd,1.804947634
157,0000009Cd,1.657352531
158,0000009Dd,1.694421828
159,0000009Ed,1.558718716
160,0000009Fd,1.427233149
161,000000A0d,1.629492787
162,000000A1d,1.523487062
163,000000A2d,1.479411044
164,000000A3d,1.707280953
165,000000A4d,1.660508194
166,000000A5d,1.537880684
167,000000A6d,1.724006208
168,000000A7d,1.812371
169,000000A8d,1.632080493
170,000000A9d,1.534997948
171,000000AAd,1.394962839
172,000000ABd,1.639889501
173,000000ACd,1.578288353
174,000000ADd,1.601971935
175,000000AEd,1.779302555
176,000000AFd,1.794482253
177,000000B0d,1.761209866
178,000000B1d,1.617693264
179,000000B2d,1.375082906
180,000000B3d,1.607517505
181,000000B4d,1.474472298
182,000000B5d,1.510607465
183,000000B6d,1.451472873
184,000000B7d,1.60206146
185,000000B8d,1.590578056
186,000000B9d,1.496567856
187,000000BAd,1.659014987
188,000000BBd,1.615649453
189,000000BCd,1.474399168
190,000000BDd,1.633111292
191,000000BEd,1.799963
192,000000BFd,1.581306966
193,000000C0d,1.750518387
194,000000C1d,1.496983509
195,000000C2d,1.792077064
196,000000C3d,1.457072787
197,000000C4d,1.629084268
198,000000C5d,1.590911545
199,000000C6d,1.672255112
200,000000C7d,1.550234715
201,000000C8d,1.96211831
202,000000C9d,1.633847397
203,000000CAd,1.743211709
204,000000CBd,1.836978475
205,000000CCd,1.534357059
206,000000CDd,1.54873805
207,000000CEd,1.449576797
208,000000CFd,1.386497
209,000000D0d,1.770268818
210,000000D1d,1.606578697
211,000000D2d,1.529383924
212,000000D3d,1.58138838
213,000000D4d,1.945208822
214,000000D5d,1.584560532
215,000000D6d,2.204103281
216,000000D7d,1.513863249
217,000000D8d,1.578194687
218,000000D9d,1.638040184
219,000000DAd,1.527295009
220,000000DBd,1.681466007
221,000000DCd,1.478971386
222,000000DDd,1.458123108
223,000000DEd,1.495268328
224,000000DFd,1.910484004
225,000000E0d,1.659342439
226,000000E1d,1.517407398
227,000000E2d,1.523659604
228,000000E3d,1.624044133
229,000000E4d,1.535857641
230,000000E5d,1.631024079
231,000000E6d,1.457869813
232,000000E7d,1.503844736
233,000000E8d,1.485489584
234,000000E9d,1.533612509
235,000000EAd,1.842852
236,000000EBd,1.728551835
237,000000ECd,1.62685503
238,000000EDd,1.645291078
239,000000EEd,1.696247808
240,000000EFd,1.414991
241,000000F0d,1.751539201
242,000000F1d,1.61238
243,000000F2d,1.652456659
244,000000F3d,1.624388559
245,000000F4d,1.464424397
246,000000F5d,1.431309431
247,000000F6d,1.936067187
248,000000F7d,1.348376119
249,000000F8d,1.58632136
250,000000F9d,1.700808764
251,000000FAd,1.884195403
252,000000FBd,1.714938573
253,000000FCd,1.417541065
254,000000FDd,1.635459543
255,000000FEd,1.381658048
256,000000FFd,1.785184449
257,00000100d,1.43061902
258,00000101d,1.577391722
259,00000102d,1.5463053
260,00000103d,1.90605652
261,00000104d,1.622794467
262,00000105d,1.596522365
263,00000106d,1.624610976
264,00000107d,1.892963913
265,00000108d,1.542686864
266,00000109d,1.90110361
267,0000010Ad,2.141923437
268,0000010Bd,1.691081747
269,0000010Cd,1.626862476
270,0000010Dd,1.6179553
271,0000010Ed,1.515288946
272,0000010Fd,1.760048
273,00000110d,1.539793053
274,00000111d,1.840882986
275,00000112d,1.545814201
276,00000113d,1.60304226
277,00000114d,1.486766291
278,00000115d,1.502718539
279,00000116d,1.398204479
280,00000117d,1.356497792
281,00000118d,1.770476126
282,00000119d,1.594477998
283,0000011Ad,1.664909608
284,0000011Bd,1.596006746
