,index,birth_rate_end_mean
1,00000000d,3.016175653
2,00000001d,3.189054118
3,00000002d,3.210017805
4,00000003d,2.930512739
5,00000004d,2.521912352
6,00000005d,2.462020432
7,00000006d,3.504913945
8,00000007d,2.7943128
9,00000008d,3.169679722
10,00000009d,2.854853549
11,0000000Ad,3.457959025
12,0000000Bd,3.19825798
13,0000000Cd,3.160769891
14,0000000Dd,3.05645632
15,0000000Ed,3.834361733
16,0000000Fd,2.902921496
17,00000010d,2.294895088
18,00000011d,2.673450128
19,00000012d,4.126186575
20,00000013d,2.515422056
21,00000014d,3.175009359
22,00000015d,3.17258348
23,00000016d,3.613698811
24,00000017d,3.916785956
25,00000018d,2.778656521
26,00000019d,3.018655359
27,0000001Ad,3.072593495
28,0000001Bd,3.271045544
29,0000001Cd,2.686668322
30,0000001Dd,2.909783807
31,0000001Ed,2.447933654
32,0000001Fd,3.418846615
33,00000020d,2.51892758
34,00000021d,3.058901302
35,00000022d,3.833601718
36,00000023d,3.151831582
37,00000024d,2.938175605
38,00000025d,3.499610979
39,00000026d,2.667177977
40,00000027d,2.945861856
41,00000028d,3.671288675
42,00000029d,3.342915678
43,0000002Ad,2.280797114
44,0000002Bd,2.839464129
45,0000002Cd,2.853683357
46,0000002Dd,3.179417801
47,0000002Ed,2.472126504
48,0000002Fd,2.43445605
49,00000030d,4.00898962
50,00000031d,3.338066628
51,00000032d,2.89521722
52,00000033d,2.617123167
53,00000034d,2.715826159
54,00000035d,2.851390896
55,00000036d,2.885383424
56,00000037d,3.390594511
57,00000038d,2.763469115
58,00000039d,2.44984038
59,0000003Ad,2.499007585
60,0000003Bd,2.80853044
61,0000003Cd,2.798146886
62,0000003Dd,2.4964677
63,0000003Ed,3.811957491
64,0000003Fd,2.393114169
65,00000040d,2.714969665
66,00000041d,4.419719908
67,00000042d,2.523470705
68,00000043d,3.659780528
69,00000044d,2.928126643
70,00000045d,3.001107272
71,00000046d,2.808002556
72,00000047d,2.269751194
73,00000048d,2.151258351
74,00000049d,2.859476795
75,0000004Ad,2.917297264
76,0000004Bd,3.404433666
77,0000004Cd,3.018396909
78,0000004Dd,2.101996097
79,0000004Ed,3.233054366
80,0000004Fd,3.318163153
81,00000050d,2.583336383
82,00000051d,2.923193607
83,00000052d,2.615990994
84,00000053d,2.237623034
85,00000054d,2.878485514
86,00000055d,3.521904916
87,00000056d,3.312169767
88,00000057d,2.685045083
89,00000058d,2.69492844
90,00000059d,3.622312137
91,0000005Ad,2.631444068
92,0000005Bd,2.967684603
93,0000005Cd,2.765311351
94,0000005Dd,2.869376125
95,0000005Ed,2.772464156
96,0000005Fd,2.515024994
97,00000060d,2.662431594
98,00000061d,2.632880908
99,00000062d,2.78617796
100,00000063d,3.115374048
101,00000064d,2.646543442
102,00000065d,2.759834518
103,00000066d,3.698306247
104,00000067d,3.258045488
105,00000068d,2.595594678
106,00000069d,2.642359537
107,0000006Ad,3.821015058
108,0000006Bd,2.65643988
109,0000006Cd,3.351148713
110,0000006Dd,3.130824156
111,0000006Ed,3.120716563
112,0000006Fd,3.170389692
113,00000070d,2.911707951
114,00000071d,2.76898797
115,00000072d,2.604159968
116,00000073d,2.981955135
117,00000074d,2.991219885
118,00000075d,2.585242816
119,00000076d,3.491519897
120,00000077d,2.901622563
121,00000078d,2.776897383
122,00000079d,3.466526001
123,0000007Ad,2.947883218
124,0000007Bd,2.933727555
125,0000007Cd,2.804744248
126,0000007Dd,2.520144826
127,0000007Ed,2.657572132
128,0000007Fd,2.796236234
129,00000080d,2.787674394
130,00000081d,4.637998715
131,00000082d,3.006685234
132,00000083d,2.921191642
133,00000084d,3.492010824
134,00000085d,2.487596117
135,00000086d,2.455841667
136,00000087d,2.820844614
137,00000088d,2.586489291
138,00000089d,2.996260518
139,0000008Ad,3.445170192
140,0000008Bd,2.711048231
141,0000008Cd,2.83649129
142,0000008Dd,2.968781747
143,0000008Ed,2.400447707
144,0000008Fd,3.319002413
145,00000090d,3.366735617
146,00000091d,2.611805983
147,00000092d,2.884400477
148,00000093d,2.542118797
149,00000094d,2.666969276
150,00000095d,2.809960989
151,00000096d,2.464742619
152,00000097d,3.598887818
153,00000098d,3.245054125
154,00000099d,3.6612161
155,0000009Ad,3.691750099
156,0000009Bd,2.933333105
157,0000009Cd,2.722520736
158,0000009Dd,3.538617112
159,0000009Ed,3.484228594
160,0000009Fd,2.810663737
161,000000A0d,3.727134034
162,000000A1d,3.051494258
163,000000A2d,3.234496124
164,000000A3d,2.946430904
165,000000A4d,3.280077149
166,000000A5d,2.60350906
167,000000A6d,2.86758917
168,000000A7d,3.61759352
169,000000A8d,2.555112221
170,000000A9d,2.979665317
171,000000AAd,2.515954982
172,000000ABd,2.901917303
173,000000ACd,3.158685131
174,000000ADd,2.934568253
175,000000AEd,3.251707927
176,000000AFd,2.968146672
177,000000B0d,2.899341334
178,000000B1d,3.155811464
179,000000B2d,2.666056192
180,000000B3d,2.78570566
181,000000B4d,2.782112255
182,000000B5d,3.637073398
183,000000B6d,2.879142912
184,000000B7d,2.689442799
185,000000B8d,3.279986071
