"","index","birth_rate_end_mean"
"1","00000000","10"
"2","00000001","10"
"3","00000002","9.459687191135"
"4","00000003","10"
"5","00000004","9.414301660064"
"6","00000005","9.932535993453"
"7","00000006","9.566204820536"
"8","00000007","10"
"9","00000008","9.980695960858"
"10","00000009","9.952190286881"
"11","0000000A","9.99991522567"
"12","0000000B","9.492158155772"
"13","0000000C","10"
"14","0000000D","9.710497037117"
"15","0000000E","9.995097354837"
"16","0000000F","9.989295876863"
"17","00000010","10"
"18","00000011","9.396942919766"
"19","00000012","9.970028823248"
"20","00000013","10"
"21","00000014","10"
"22","00000015","10"
"23","00000016","9.644409345131"
"24","00000017","10"
"25","00000018","9.74050955719599"
"26","00000019","9.573904259621"
"27","0000001A","9.756658584593"
"28","0000001B","10"
"29","0000001C","9.47520990189801"
"30","0000001D","9.726501298296"
"31","0000001E","9.777487789003"
"32","0000001F","9.907583485832"
"33","00000020","9.985044786662"
"34","00000021","9.999733238287"
"35","00000022","9.957938405531"
"36","00000023","9.995407393266"
"37","00000024","10"
"38","00000025","10"
"39","00000026","9.61611468082"
"40","00000027","10"
"41","00000028","10"
"42","00000029","9.916216262071"
"43","0000002A","9.76622353499"
"44","0000002B","9.99180728017"
"45","0000002C","9.431814155843"
"46","0000002D","10"
"47","0000002E","9.321691142171"
"48","0000002F","9.46179404841"
"49","00000030","9.798785355854"
"50","00000031","9.303532208244"
"51","00000032","9.770855437356"
"52","00000033","9.870051882057"
"53","00000034","9.855445881971"
"54","00000035","9.944730174637"
"55","00000036","9.571459649808"
"56","00000037","9.841241094819"
"57","00000038","9.495376876778"
"58","00000039","9.68177533474"
"59","0000003A","10"
"60","0000003B","9.99995683025"
"61","0000003C","9.322492817058"
"62","0000003D","10"
"63","0000003E","9.701562875616"
"64","0000003F","10"
"65","00000040","9.853076360029"
"66","00000041","9.923477"
"67","00000042","10"
"68","00000043","9.99991579762"
"69","00000044","10"
"70","00000045","10"
"71","00000046","9.914966735038"
"72","00000047","9.715559362886"
"73","00000048","9.791048749212"
"74","00000049","9.592828627442"
"75","0000004A","10"
"76","0000004B","9.532037586258"
"77","0000004C","10"
"78","0000004D","10"
"79","0000004E","9.920324447084"
"80","0000004F","9.940348155812"
"81","00000050","9.982035115399"
"82","00000051","9.978333855556"
"83","00000052","9.336242506576"
"84","00000053","10"
"85","00000054","9.495701599711"
"86","00000055","10"
"87","00000056","10"
"88","00000057","9.60164648281"
"89","00000058","9.64472761687"
"90","00000059","9.491217605853"
"91","0000005A","9.80352322201"
"92","0000005B","9.627625722063"
"93","0000005C","9.853460238266"
"94","0000005D","9.911549126296"
"95","0000005E","9.677708143985"
"96","0000005F","9.896173067107"
"97","00000060","10"
"98","00000061","10"
"99","00000062","9.99914163931"
"100","00000063","9.839244942238"
"101","00000064","9.822664923737"
"102","00000065","10"
"103","00000066","9.953140366605"
"104","00000067","9.961572542548"
"105","00000068","9.556963039912"
"106","00000069","9.570018825988"
"107","0000006A","9.999998102307"
"108","0000006B","9.851348677686"
"109","0000006C","9.942030571298"
"110","0000006D","9.674810173884"
"111","0000006E","10"
"112","0000006F","9.838946402689"
"113","00000070","9.644887491946"
"114","00000071","9.984626013965"
"115","00000072","10"
"116","00000073","9.613247930165"
"117","00000074","9.85963281882"
"118","00000075","10"
"119","00000076","9.442494111797"
"120","00000077","9.471586215861"
"121","00000078","10"
"122","00000079","9.180214607814"
"123","0000007A","9.911616974452"
"124","0000007B","9.82752381918199"
"125","0000007C","9.637694338535"
"126","0000007D","9.546348792802"
"127","0000007E","9.952947420432"
"128","0000007F","9.39341085060199"
"129","00000080","9.869661252145"
"130","00000081","9.949830161659"
"131","00000082","9.969005607101"
"132","00000083","9.946019346511"
"133","00000084","9.999639995033"
"134","00000085","9.950965418234"
"135","00000086","9.908814529521"
"136","00000087","10"
"137","00000088","9.895111158656"
"138","00000089","10"
"139","0000008A","9.859271536042"
"140","0000008B","9.99965600086"
"141","0000008C","9.34509179682499"
"142","0000008D","9.52083681505401"
"143","0000008E","9.563500324283"
"144","0000008F","9.314402388729"
"145","00000090","9.887818215813"
"146","00000091","9.937550538309"
"147","00000092","9.863827680371"
"148","00000093","9.931453361888"
"149","00000094","10"
"150","00000095","9.779242845313"
"151","00000096","9.66596312199"
"152","00000097","10"
"153","00000098","9.743673987823"
"154","00000099","10"
"155","0000009A","10"
"156","0000009B","10"
"157","0000009C","9.999857349178"
"158","0000009D","9.888347396225"
"159","0000009E","10"
"160","0000009F","9.950906463209"
"161","000000A0","9.913512974962"
"162","000000A1","9.873807232367"
"163","000000A2","10"
"164","000000A3","10"
"165","000000A4","9.898996309293"
"166","000000A5","9.742329652022"
"167","000000A6","10"
"168","000000A7","10"
