,index,birth_rate_end_mean
1,00000000a,5.725065791
2,00000001a,6.115771987
3,00000002a,6.570068448
4,00000003a,5.592944245
5,00000004a,6.44157402
6,00000005a,6.419418669
7,00000006a,5.756240641
8,00000007a,5.987909966
9,00000008a,5.485584552
10,00000009a,5.978484374
11,0000000Aa,5.64514249
12,0000000Ba,5.827666993
13,0000000Ca,6.97729892
14,0000000Da,5.828543723
15,0000000Ea,7.43993136
16,0000000Fa,6.04668578
17,00000010a,6.392242142
18,00000011a,7.87447713
19,00000012a,5.705152814
20,00000013a,6.447399083
21,00000014a,5.850978269
22,00000015a,6.256440518
23,00000016a,6.125124594
24,00000017a,5.511183928
25,00000018a,6.294249468
26,00000019a,6.047215654
27,0000001Aa,6.702749144
28,0000001Ba,6.333470758
29,0000001Ca,6.77682303
30,0000001Da,5.723431093
31,0000001Ea,5.589898959
32,0000001Fa,5.680041475
33,00000020a,5.426773025
34,00000021a,7.215294554
35,00000022a,6.357375152
36,00000023a,5.940681824
37,00000024a,6.699774771
38,00000025a,6.007684675
39,00000026a,6.978696571
40,00000027a,6.567813328
41,00000028a,5.756709597
42,00000029a,5.970826401
43,0000002Aa,6.369449195
44,0000002Ba,6.238628583
45,0000002Ca,6.771418456
46,0000002Da,6.223338555
47,0000002Ea,5.689951549
48,0000002Fa,6.13676621
49,00000030a,6.752536084
50,00000031a,6.14452887
51,00000032a,5.477531178
52,00000033a,5.844813869
53,00000034a,5.2125921
54,00000035a,5.733450836
55,00000036a,6.051038391
56,00000037a,6.661483948
57,00000038a,5.970576704
58,00000039a,6.531483277
59,0000003Aa,6.857367337
60,0000003Ba,5.75465902
61,0000003Ca,6.357658905
62,0000003Da,5.182730525
63,0000003Ea,5.793274338
64,0000003Fa,7.528864274
65,00000040a,5.793124935
66,00000041a,6.049548897
67,00000042a,6.465733737
68,00000043a,6.524752393
69,00000044a,7.027220895
70,00000045a,6.471158002
71,00000046a,5.760483285
72,00000047a,5.947910657
73,00000048a,6.158562087
74,00000049a,6.6943537
75,0000004Aa,6.211166461
76,0000004Ba,5.843833634
77,0000004Ca,6.064480352
78,0000004Da,6.863148377
79,0000004Ea,5.931761108
80,0000004Fa,6.623029934
81,00000050a,6.034816417
82,00000051a,6.154994953
83,00000052a,5.803330392
84,00000053a,6.642232604
85,00000054a,6.349487814
86,00000055a,6.154854589
87,00000056a,6.752031815
88,00000057a,6.22280953
89,00000058a,5.891273037
90,00000059a,5.846743997
91,0000005Aa,6.621015146
92,0000005Ba,6.380922461
93,0000005Ca,5.844920222
94,0000005Da,6.197509872
95,0000005Ea,6.868389033
96,0000005Fa,5.548857209
97,00000060a,6.64329478
98,00000061a,6.238698238
99,00000062a,6.592654932
100,00000063a,5.853846689
101,00000064a,6.269457767
102,00000065a,5.404745115
103,00000066a,7.600069065
104,00000067a,5.941214693
105,00000068a,6.636526671
106,00000069a,6.781237502
107,0000006Aa,6.075682519
108,0000006Ba,6.733665464
109,0000006Ca,7.332907544
110,0000006Da,5.675633471
111,0000006Ea,5.533303567
112,0000006Fa,6.244584071
113,00000070a,5.56568328
114,00000071a,5.435882638
115,00000072a,5.885461037
116,00000073a,6.31985395
117,00000074a,6.118844882
118,00000075a,7.019640086
119,00000076a,6.129158375
120,00000077a,5.80567695
121,00000078a,6.389949222
122,00000079a,6.80507124
123,0000007Aa,8.246531811
124,0000007Ba,5.767768029
125,0000007Ca,6.383500929
126,0000007Da,6.092870734
127,0000007Ea,6.136113958
128,0000007Fa,6.375581386
129,00000080a,6.028326887
130,00000081a,5.896495279
131,00000082a,6.320031843
132,00000083a,7.331399204
133,00000084a,6.509133439
134,00000085a,6.188881139
135,00000086a,5.806961993
136,00000087a,6.827985881
137,00000088a,6.960917064
138,00000089a,6.275595465
139,0000008Aa,6.604086963
140,0000008Ba,6.305382047
141,0000008Ca,7.003105958
142,0000008Da,6.374050168
143,0000008Ea,6.17897211
144,0000008Fa,6.163798595
145,00000090a,6.083255934
146,00000091a,5.881288843
147,00000092a,6.386252288
148,00000093a,6.137000994
149,00000094a,6.053327442
150,00000095a,5.721689205
151,00000096a,5.497212204
152,00000097a,6.345612983
153,00000098a,6.011831005
154,00000099a,6.786332049
155,0000009Aa,5.814609576
156,0000009Ba,5.776340702
157,0000009Ca,5.92407912
158,0000009Da,6.130006183
159,0000009Ea,7.378911075
160,0000009Fa,6.250298216
161,000000A0a,6.363439034
162,000000A1a,5.466146911
163,000000A2a,6.53728104
164,000000A3a,6.96462835
165,000000A4a,6.051479256
166,000000A5a,5.555314755
167,000000A6a,6.699295965
168,000000A7a,5.701393009
169,000000A8a,5.842169015
170,000000A9a,6.371172965
171,000000AAa,5.629833038
172,000000ABa,6.266963175
173,000000ACa,6.210953587
174,000000ADa,6.866739898
175,000000AEa,6.128694196
176,000000AFa,6.458704723
177,000000B0a,5.497852554
178,000000B1a,6.66653747
179,000000B2a,5.877918389
180,000000B3a,6.154498576
181,000000B4a,5.358793384
182,000000B5a,6.551902322
183,000000B6a,6.508148998
184,000000B7a,6.687541126
185,000000B8a,6.593446238
186,000000B9a,6.696479348
187,000000BAa,6.091677328
188,000000BBa,6.321373798
189,000000BCa,6.543416104
190,000000BDa,6.712403686
191,000000BEa,6.113958651
192,000000BFa,6.084173243
193,000000C0a,6.787621996
194,000000C1a,7.401675009
195,000000C2a,7.209507941
196,000000C3a,5.702367962
197,000000C4a,6.741939777
198,000000C5a,6.392250138
199,000000C6a,6.04137459
200,000000C7a,6.930325038
201,000000C8a,5.923819427
202,000000C9a,5.841922264
203,000000CAa,6.115102746
204,000000CBa,5.38305603
205,000000CCa,6.043020153
206,000000CDa,6.011423622
207,000000CEa,6.569485015
208,000000CFa,6.202725403
209,000000D0a,6.036941311
210,000000D1a,5.93128188
211,000000D2a,5.216121712
212,000000D3a,6.178013408
213,000000D4a,6.720175266
214,000000D5a,5.864706068
215,000000D6a,6.805438788
216,000000D7a,6.384012555
217,000000D8a,7.280813923
218,000000D9a,5.89286468
219,000000DAa,5.400927667
220,000000DBa,8.026085051
221,000000DCa,6.664319751
222,000000DDa,6.816397238
223,000000DEa,6.322392336
224,000000DFa,6.560789447
225,000000E0a,6.943316566
226,000000E1a,6.484300348
227,000000E2a,5.507875224
228,000000E3a,6.100404927
229,000000E4a,5.76068844
230,000000E5a,5.746668705
231,000000E6a,6.59375139
232,000000E7a,6.389980063
233,000000E8a,6.161882021
234,000000E9a,5.842345722
235,000000EAa,5.957911974
236,000000EBa,6.330070222
237,000000ECa,6.341127257
238,000000EDa,6.315986832
239,000000EEa,6.446506516
240,000000EFa,6.828391036
241,000000F0a,6.603582511
242,000000F1a,6.752283193
243,000000F2a,5.887511681
244,000000F3a,6.537070383
245,000000F4a,6.664328998
246,000000F5a,6.825158105
247,000000F6a,5.698598024
248,000000F7a,6.858521683
249,000000F8a,5.650908004
250,000000F9a,6.393397134
251,000000FAa,5.986286174
252,000000FBa,5.645585781
253,000000FCa,6.225239046
254,000000FDa,6.3623815
255,000000FEa,6.292760833
256,000000FFa,6.367897041
257,00000100a,5.494776291
258,00000101a,6.739058826
259,00000102a,6.859784233
260,00000103a,6.344999779
261,00000104a,6.221008722
262,00000105a,6.459436207
263,00000106a,5.509774802
264,00000107a,5.984850625
265,00000108a,5.529896879
266,00000109a,5.73838878
267,0000010Aa,7.896829179
268,0000010Ba,5.688125501
269,0000010Ca,6.450407764
270,0000010Da,6.718110165
271,0000010Ea,7.176473287
272,0000010Fa,5.889119914
273,00000110a,6.771473879
274,00000111a,5.667995265
275,00000112a,6.389544064
276,00000113a,6.144476399
277,00000114a,6.100790188
278,00000115a,6.088366474
279,00000116a,6.48111529
280,00000117a,5.849699385
281,00000118a,7.753111639
282,00000119a,6.638263307
283,0000011Aa,6.620268979
284,0000011Ba,6.970171106
285,0000011Ca,5.449170661
286,0000011Da,5.629014963
287,0000011Ea,6.270949454
288,0000011Fa,5.462630844
289,00000120a,5.495464921
290,00000121a,6.178281331
291,00000122a,6.784565145
292,00000123a,6.251418686
293,00000124a,6.299595365
294,00000125a,5.954991969
295,00000126a,6.058519691
296,00000127a,5.332972472
297,00000128a,6.719602592
298,00000129a,6.46588241
299,0000012Aa,6.274433331
300,0000012Ba,6.037484357
301,0000012Ca,6.08532051
302,0000012Da,6.660267315
303,0000012Ea,8.209145147
304,0000012Fa,7.588552867
305,00000130a,6.608636995
306,00000131a,5.892453633
307,00000132a,6.354907445
308,00000133a,6.377965121
309,00000134a,6.211297774
310,00000135a,6.16508911
311,00000136a,6.203208866
312,00000137a,6.745782034
313,00000138a,6.764213258
314,00000139a,6.409371178
315,0000013Aa,7.584690346
316,0000013Ba,6.405705218
317,0000013Ca,6.760962604
318,0000013Da,5.546164871
319,0000013Ea,6.118627504
320,0000013Fa,6.213951258
321,00000140a,5.829924942
322,00000141a,6.608265224
323,00000142a,6.253267184
324,00000143a,5.291049067
325,00000144a,5.910451872
326,00000145a,5.697933851
327,00000146a,6.174499278
328,00000147a,6.521685512
329,00000148a,6.132448517
330,00000149a,6.334109728
331,0000014Aa,6.269439273
332,0000014Ba,6.050486603
333,0000014Ca,5.566394769
334,0000014Da,6.005074219
335,0000014Ea,5.473416391
336,0000014Fa,6.361788962
337,00000150a,6.73232837
338,00000151a,5.657003903
339,00000152a,6.467078883
340,00000153a,6.007237786
341,00000154a,6.544481995
342,00000155a,5.805402089
343,00000156a,5.571403595
344,00000157a,5.854879016
345,00000158a,5.859070031
346,00000159a,6.054648273
347,0000015Aa,6.918520709
348,0000015Ba,5.698436678
349,0000015Ca,5.882692824
350,0000015Da,6.51996621
351,0000015Ea,5.980741484
352,0000015Fa,6.600276252
353,00000160a,6.579577834
354,00000161a,6.747922122
355,00000162a,6.358021525
356,00000163a,6.143494193
357,00000164a,6.586450821
358,00000165a,6.661080516
359,00000166a,6.287451973
360,00000167a,5.916600592
361,00000168a,5.96016021
362,00000169a,5.762029841
363,0000016Aa,6.61464753
364,0000016Ba,6.489146121
365,0000016Ca,6.809407328
366,0000016Da,6.3650463
367,0000016Ea,6.0189487
368,0000016Fa,7.334733637
369,00000170a,5.812303743
370,00000171a,5.656946957
371,00000172a,7.007197486
372,00000173a,7.0331873
373,00000174a,6.932188259
374,00000175a,6.986731571
375,00000176a,5.862470892
