,index,birth_rate_end_mean
1,00000000a,1.407883362
2,00000000aa,1.299551982
3,00000001a,1.386428486
4,00000001aa,1.470886874
5,00000002a,1.314273476
6,00000002aa,1.324519915
7,00000003a,1.340226667
8,00000003aa,1.513772598
9,00000004a,1.329691097
10,00000004aa,1.492296297
11,00000005a,1.221026738
12,00000005aa,1.262060438
13,00000006a,1.305980279
14,00000006aa,1.247980133
15,00000007a,1.286558037
16,00000007aa,1.301030668
17,00000008a,1.400079005
18,00000008aa,1.267213669
19,00000009a,1.236780298
20,00000009aa,1.367696799
21,0000000Aa,1.568680658
22,0000000Aaa,1.36822512
23,0000000Ba,1.242724858
24,0000000Baa,1.532438794
25,0000000Ca,1.471216605
26,0000000Caa,1.231568553
27,0000000Da,1.379944817
28,0000000Daa,1.431636042
29,0000000Ea,1.304763647
30,0000000Eaa,1.561437119
31,0000000Fa,1.28645498
32,0000000Faa,1.273312807
33,00000010a,1.259337752
34,00000010aa,1.318221339
35,00000011a,1.541259597
36,00000011aa,1.358561647
37,00000012a,1.418049858
38,00000012aa,1.336027049
39,00000013a,1.421697113
40,00000013aa,1.204078468
41,00000014a,1.282541561
42,00000014aa,1.413770812
43,00000015a,1.46000369
44,00000015aa,1.299090816
45,00000016a,1.269918023
46,00000016aa,1.366338243
47,00000017a,1.366150628
48,00000017aa,1.4316284
49,00000018a,1.301707536
50,00000018aa,1.728143268
51,00000019a,1.360825967
52,00000019aa,1.29722861
53,0000001Aa,1.296549806
54,0000001Aaa,1.328657567
55,0000001Ba,1.4652581
56,0000001Baa,1.265998047
57,0000001Ca,1.348018155
58,0000001Caa,1.198500882
59,0000001Da,1.403452356
60,0000001Daa,1.225604352
61,0000001Ea,1.310463543
62,0000001Eaa,1.437456938
63,0000001Fa,1.244227696
64,0000001Faa,1.422542678
65,00000020a,1.417049327
66,00000020aa,1.692635683
67,00000021a,1.480859295
68,00000021aa,1.356747897
69,00000022a,1.37793732
70,00000022aa,1.301006407
71,00000023a,1.369994898
72,00000023aa,1.40880243
73,00000024a,1.442119693
74,00000024aa,1.546193471
75,00000025a,1.322235442
76,00000025aa,1.241077558
77,00000026a,1.414156304
78,00000026aa,1.305005982
79,00000027a,1.38992003
80,00000027aa,1.236762518
81,00000028a,1.458398376
82,00000028aa,1.389781467
83,00000029a,1.55514174
84,00000029aa,1.379699994
85,0000002Aa,1.443310441
86,0000002Aaa,1.378576434
87,0000002Ba,1.378643858
88,0000002Baa,1.295112584
89,0000002Ca,1.282374787
90,0000002Caa,1.514709403
91,0000002Da,1.492005442
92,0000002Daa,1.471740523
93,0000002Ea,1.342146565
94,0000002Eaa,1.3451866
95,0000002Fa,1.261248556
96,0000002Faa,1.270062866
97,00000030a,1.358361957
98,00000030aa,1.338994914
99,00000031a,1.34549442
100,00000031aa,1.347737042
101,00000032a,1.337946968
102,00000032aa,1.524836026
103,00000033a,1.37503771
104,00000033aa,1.361959124
105,00000034a,1.330976533
106,00000034aa,1.286504313
107,00000035a,1.374273141
108,00000035aa,1.317775336
109,00000036a,1.408627348
110,00000036aa,1.490477564
111,00000037a,1.317321606
112,00000037aa,1.398557104
113,00000038a,1.321753335
114,00000038aa,1.605324526
115,00000039a,1.407892993
116,00000039aa,1.299104233
117,0000003Aa,1.229589531
118,0000003Aaa,1.363544702
119,0000003Ba,1.335929713
120,0000003Baa,1.293295373
121,0000003Ca,1.373829954
122,0000003Caa,1.37018945
123,0000003Da,1.468339546
124,0000003Daa,1.323102419
125,0000003Ea,1.52515436
126,0000003Eaa,1.457236152
127,0000003Fa,1.431525026
128,0000003Faa,1.384732934
129,00000040a,1.321151623
130,00000040aa,1.495741184
131,00000041a,1.476898687
132,00000041aa,1.378565727
133,00000042a,1.24341354
134,00000042aa,1.29039164
135,00000043a,1.350667435
136,00000043aa,1.335957238
137,00000044a,1.561657548
138,00000044aa,1.343513279
139,00000045a,1.426171657
140,00000045aa,1.352187074
141,00000046a,1.458812139
142,00000046aa,1.349488896
143,00000047a,1.474372414
144,00000047aa,1.386427158
145,00000048a,1.290336029
146,00000048aa,1.376000588
147,00000049a,1.185218678
148,00000049aa,1.3549218
149,0000004Aa,1.522897225
150,0000004Aaa,1.255297742
151,0000004Ba,1.276560155
152,0000004Baa,1.315816703
153,0000004Ca,1.212184284
154,0000004Caa,1.271832532
155,0000004Da,1.265229946
156,0000004Daa,1.244845198
157,0000004Ea,1.236024458
158,0000004Eaa,1.291137866
159,0000004Fa,1.227983031
160,0000004Faa,1.28178587
161,00000050a,1.400284486
162,00000050aa,1.288355073
163,00000051a,1.625872635
164,00000051aa,1.376130608
165,00000052a,1.523799924
166,00000052aa,1.336060502
167,00000053a,1.425477848
168,00000053aa,1.411548122
169,00000054a,1.320238588
170,00000054aa,1.238888167
171,00000055a,1.3819157
172,00000055aa,1.358807861
173,00000056a,1.399058301
174,00000056aa,1.253018148
175,00000057a,1.207685995
176,00000057aa,1.420722971
177,00000058a,1.326172249
178,00000058aa,1.290160802
179,00000059a,1.427795699
180,00000059aa,1.272786887
181,0000005Aa,1.295012657
182,0000005Aaa,1.209595345
183,0000005Ba,1.459538865
184,0000005Baa,1.569141753
185,0000005Ca,1.368861585
186,0000005Caa,1.472616179
187,0000005Da,1.353924528
188,0000005Daa,1.216029324
189,0000005Ea,1.393762747
190,0000005Eaa,1.341724811
191,0000005Fa,1.427603376
192,0000005Faa,1.521112345
193,00000060a,1.337504093
194,00000060aa,1.367200901
195,00000061a,1.32333311
196,00000061aa,1.309341608
197,00000062a,1.298309977
198,00000062aa,1.21642799
199,00000063a,1.401598157
200,00000063aa,1.509312389
201,00000064a,1.508420118
202,00000064aa,1.251531596
203,00000065a,1.325661055
204,00000065aa,1.364043156
205,00000066a,1.418292934
206,00000066aa,1.561153926
207,00000067a,1.263077214
208,00000067aa,1.277676867
209,00000068a,1.317121315
210,00000068aa,1.5434776
211,00000069a,1.362926457
212,00000069aa,1.293158294
213,0000006Aa,1.606687679
214,0000006Aaa,1.343194605
215,0000006Ba,1.269002931
216,0000006Baa,1.418523777
217,0000006Ca,1.362558205
218,0000006Caa,1.457283572
219,0000006Da,1.350972677
220,0000006Daa,1.420008982
221,0000006Ea,1.354290491
222,0000006Eaa,1.300661185
223,0000006Fa,1.286103614
224,0000006Faa,1.252399041
225,00000070a,1.605313278
226,00000070aa,1.340826138
227,00000071a,1.407924867
228,00000071aa,1.336877892
229,00000072a,1.239506713
230,00000072aa,1.327499873
231,00000073a,1.259057637
232,00000073aa,1.321877258
233,00000074a,1.425262751
234,00000074aa,1.345732689
235,00000075a,1.263725652
236,00000075aa,1.313259743
237,00000076a,1.396634149
238,00000076aa,1.270406149
239,00000077a,1.347951209
240,00000077aa,1.377753251
241,00000078a,1.354987833
242,00000078aa,1.283245601
243,00000079a,1.27932973
244,00000079aa,1.391318135
245,0000007Aa,1.382055298
246,0000007Aaa,1.342002978
247,0000007Ba,1.464795366
248,0000007Baa,1.339280368
249,0000007Ca,1.47141638
250,0000007Caa,1.339397684
251,0000007Da,1.393795991
252,0000007Daa,1.317929144
253,0000007Ea,1.312463339
254,0000007Eaa,1.574363833
255,0000007Fa,1.335166523
256,0000007Faa,1.348625507
257,00000080a,1.280283339
258,00000080aa,1.508980818
259,00000081a,1.379470226
260,00000081aa,1.409427059
261,00000082a,1.218995598
262,00000082aa,1.385815703
263,00000083a,1.42538983
264,00000083aa,1.337876
265,00000084a,1.323433936
266,00000084aa,1.287702137
267,00000085a,1.370107192
268,00000085aa,1.264922429
269,00000086a,1.475281902
270,00000086aa,1.359821042
271,00000087a,1.702425138
272,00000087aa,1.191307606
273,00000088a,1.294470467
274,00000088aa,1.281962696
275,00000089a,1.339788052
276,00000089aa,1.302075196
277,0000008Aa,1.302731937
278,0000008Aaa,1.31492212
279,0000008Ba,1.324823602
280,0000008Baa,1.424203012
281,0000008Ca,1.39700171
282,0000008Caa,1.546255583
