,index,birth_rate_end_mean
1,00000000d,1.865919625
2,00000001d,2.026193481
3,00000002d,1.952181421
4,00000003d,1.827279977
5,00000004d,1.840161909
6,00000005d,2.289619423
7,00000006d,2.003335321
8,00000007d,1.842415227
9,00000008d,1.798409163
10,00000009d,2.269447721
11,0000000Ad,2.40451167
12,0000000Bd,1.681281332
13,0000000Cd,1.888983901
14,0000000Dd,2.284451749
15,0000000Ed,2.121368888
16,0000000Fd,1.863812051
17,00000010d,1.801575739
18,00000011d,1.724714471
19,00000012d,2.043773656
20,00000013d,1.914214609
21,00000014d,2.113113962
22,00000015d,1.989112125
23,00000016d,2.032695228
24,00000017d,2.031942256
25,00000018d,2.106348241
26,00000019d,1.917212279
27,0000001Ad,1.763791853
28,0000001Bd,1.8982817
29,0000001Cd,1.854232727
30,0000001Dd,1.864286058
31,0000001Ed,2.175696603
32,0000001Fd,1.84300462
33,00000020d,2.185161193
34,00000021d,1.897565327
35,00000022d,2.088926771
36,00000023d,2.213321147
37,00000024d,2.527544099
38,00000025d,1.781057671
39,00000026d,2.284059699
40,00000027d,1.974601459
41,00000028d,1.840398648
42,00000029d,2.078138367
43,0000002Ad,1.833867202
44,0000002Bd,1.981350451
45,0000002Cd,1.866695589
46,0000002Dd,1.849464055
47,0000002Ed,1.992324753
48,0000002Fd,2.151109201
49,00000030d,2.290501264
50,00000031d,1.825252233
51,00000032d,2.213979075
52,00000033d,1.797761274
53,00000034d,2.126484077
54,00000035d,1.987091449
55,00000036d,2.116621731
56,00000037d,1.782920086
57,00000038d,1.82908304
58,00000039d,2.273287002
59,0000003Ad,1.772827548
60,0000003Bd,2.114023923
61,0000003Cd,2.03052444
62,0000003Dd,1.961913789
63,0000003Ed,3.18419621
64,0000003Fd,1.983288516
65,00000040d,1.796825398
66,00000041d,2.130413644
67,00000042d,2.110536212
68,00000043d,2.164345643
69,00000044d,2.093017318
70,00000045d,2.347145
71,00000046d,1.997554686
72,00000047d,2.348487886
73,00000048d,2.057671341
74,00000049d,2.125630666
75,0000004Ad,2.060565931
76,0000004Bd,1.706468347
77,0000004Cd,1.762990135
78,0000004Dd,1.867453715
79,0000004Ed,1.825805877
80,0000004Fd,2.191389888
81,00000050d,1.900346395
82,00000051d,2.14765206
83,00000052d,2.03376226
84,00000053d,2.021995505
85,00000054d,1.925370598
86,00000055d,1.860166212
87,00000056d,1.885240286
88,00000057d,2.189971275
89,00000058d,1.745700435
90,00000059d,2.37788395
91,0000005Ad,2.180452828
92,0000005Bd,2.180045406
93,0000005Cd,2.070561805
94,0000005Dd,1.952678338
95,0000005Ed,1.777844357
96,0000005Fd,1.945412981
97,00000060d,2.295368685
98,00000061d,1.820336767
99,00000062d,1.998688502
100,00000063d,1.912440649
101,00000064d,2.094474896
102,00000065d,2.132527027
103,00000066d,2.011104666
104,00000067d,2.153114173
105,00000068d,2.215149584
106,00000069d,1.726639696
107,0000006Ad,1.938074995
108,0000006Bd,1.95797084
109,0000006Cd,1.642086956
110,0000006Dd,1.776230092
111,0000006Ed,2.01974261
112,0000006Fd,1.966339687
113,00000070d,2.063360085
114,00000071d,2.088907953
115,00000072d,1.922666887
116,00000073d,2.017864052
117,00000074d,1.78037963
118,00000075d,1.988751614
119,00000076d,1.888898755
120,00000077d,1.959726347
121,00000078d,1.914887423
122,00000079d,1.925730731
123,0000007Ad,1.921169925
124,0000007Bd,2.190833225
125,0000007Cd,1.829307069
126,0000007Dd,2.0159513
127,0000007Ed,2.055662942
128,0000007Fd,1.840338212
129,00000080d,2.130528269
130,00000081d,2.061211798
131,00000082d,1.590418485
132,00000083d,1.869715231
133,00000084d,1.9888862
134,00000085d,2.040030142
135,00000086d,2.167681574
136,00000087d,1.810231703
137,00000088d,2.226040233
138,00000089d,1.698944543
139,0000008Ad,1.806974436
140,0000008Bd,1.770212948
141,0000008Cd,1.946249126
142,0000008Dd,1.938843801
143,0000008Ed,1.965699577
144,0000008Fd,1.869087229
145,00000090d,2.054688178
146,00000091d,1.995974357
147,00000092d,2.54087685
148,00000093d,2.812046276
149,00000094d,1.953303087
150,00000095d,1.786121699
151,00000096d,2.058180122
152,00000097d,1.847175762
153,00000098d,1.997499168
154,00000099d,2.028919732
155,0000009Ad,2.013387487
156,0000009Bd,1.756287211
157,0000009Cd,1.972965591
158,0000009Dd,1.855376751
159,0000009Ed,2.026219076
160,0000009Fd,1.959879552
161,000000A0d,2.006084914
162,000000A1d,2.057711876
163,000000A2d,1.820259984
164,000000A3d,2.078700376
165,000000A4d,1.978531021
166,000000A5d,1.912785043
167,000000A6d,2.20278924
168,000000A7d,2.172714737
169,000000A8d,1.657112179
170,000000A9d,1.894712637
171,000000AAd,1.934411582
172,000000ABd,2.304121009
173,000000ACd,1.662653615
174,000000ADd,2.13421463
175,000000AEd,1.999382185
176,000000AFd,1.744360185
177,000000B0d,2.029405625
178,000000B1d,2.166266565
179,000000B2d,1.750078028
180,000000B3d,1.837788959
181,000000B4d,2.067082583
182,000000B5d,1.936458565
183,000000B6d,1.775870821
184,000000B7d,1.941843694
185,000000B8d,1.768856032
186,000000B9d,1.948833831
187,000000BAd,1.9743669
188,000000BBd,1.988956256
189,000000BCd,1.809438349
190,000000BDd,2.051143857
191,000000BEd,1.888648197
192,000000BFd,1.845851755
193,000000C0d,2.108650021
194,000000C1d,2.101890424
195,000000C2d,2.240382537
196,000000C3d,2.303725797
197,000000C4d,1.865741722
198,000000C5d,1.860879776
199,000000C6d,1.914878681
