"","index","birth_rate_end_mean"
"1","00000000","6.099154"
"2","00000001","4.132171"
"3","00000002","2.16227132848"
"4","00000003","5.833403"
"5","00000004","8.387368"
"6","00000005","3.287779"
"7","00000006","4.281766"
"8","00000007","5.475529"
"9","00000008","2.745478"
"10","00000009","6.942364"
"11","0000000A","6.264212"
"12","0000000B","3.389603"
"13","0000000C","2.240859"
"14","0000000D","3.021886"
"15","0000000E","3.058203"
"16","0000000F","6.649871"
"17","00000010","6.039717"
"18","00000011","2.19264543156"
"19","00000012","5.027318"
"20","00000013","2.212253"
"21","00000014","4.764802"
"22","00000015","2.16512"
"23","00000016","5.151894"
"24","00000017","3.048230191195"
"25","00000018","3.306977"
"26","00000019","4.235389"
"27","0000001A","1.651707378924"
"28","0000001B","5.44046"
"29","0000001C","8.863942"
"30","0000001D","6.630125"
"31","0000001E","4.734461"
"32","0000001F","6.299776"
"33","00000020","1.8835"
"34","00000021","4.682255"
"35","00000022","4.386146"
"36","00000023","5.466189"
"37","00000024","5.192216"
"38","00000025","1.814394"
"39","00000026","1.96572"
"40","00000027","3.378304"
"41","00000028","3.153362"
"42","00000029","6.106397"
"43","0000002A","2.265075"
"44","0000002B","5.083436"
"45","0000002C","3.618457"
"46","0000002D","3.390553"
"47","0000002E","8.334121"
"48","0000002F","3.037235"
"49","00000030","4.818092"
"50","00000031","6.120515"
"51","00000032","5.031344"
"52","00000033","3.733019"
"53","00000034","3.074206"
"54","00000035","2.526957"
"55","00000036","2.20376275056"
"56","00000037","6.925801"
"57","00000038","6.538038"
"58","00000039","2.491593"
"59","0000003A","2.419195"
"60","0000003B","4.173347"
"61","0000003C","1.776406"
"62","0000003D","3.384969891449"
"63","0000003E","4.603997"
"64","0000003F","8.185423"
"65","00000040","3.929734"
"66","00000041","3.160406"
"67","00000042","10"
"68","00000043","2.169301"
"69","00000044","5.016976"
"70","00000045","5.822982"
"71","00000046","7.398252"
"72","00000047","10"
"73","00000048","2.193902"
"74","00000049","2.90111572668"
"75","0000004A","1.884599"
"76","0000004B","4.29394"
"77","0000004C","1.928017"
"78","0000004D","3.357087"
"79","0000004E","5.062453"
"80","0000004F","5.097734"
"81","00000050","5.908883"
"82","00000051","2.511806"
"83","00000052","8.779339"
"84","00000053","4.809862"
"85","00000054","3.964705"
"86","00000055","1.677792"
"87","00000056","1.686864"
"88","00000057","1.990999"
"89","00000058","1.610855426186"
"90","00000059","7.482187"
"91","0000005A","4.190442"
"92","0000005B","3.218996"
"93","0000005C","10"
"94","0000005D","4.183805"
"95","0000005E","1.714844"
"96","0000005F","3.044591"
"97","00000060","1.604091063349"
"98","00000061","4.711913"
"99","00000062","7.577098521584"
"100","00000063","2.363129"
"101","00000064","2.975551"
"102","00000065","2.775525"
"103","00000066","2.387331"
"104","00000067","3.393395"
"105","00000068","7.637293"
"106","00000069","4.210481"
"107","0000006A","2.258512"
"108","0000006B","4.692386"
"109","0000006C","5.23381"
"110","0000006D","2.781259"
"111","0000006E","2.39816442894"
"112","0000006F","4.167264"
"113","00000070","1.840809"
"114","00000071","6.812183"
"115","00000072","1.989132509674"
"116","00000073","1.90575"
"117","00000074","1.521952"
"118","00000075","4.114944"
"119","00000076","7.935485"
"120","00000077","2.561741"
"121","00000078","4.977901"
"122","00000079","6.029618"
"123","0000007A","5.621337"
"124","0000007B","5.11179199726"
"125","0000007C","5.38672"
"126","0000007D","6.686335"
"127","0000007E","3.013985"
"128","0000007F","2.611969"
"129","00000080","2.789062"
"130","00000081","2.463424"
"131","00000082","5.29982"
"132","00000083","2.506986"
"133","00000084","6.199171"
"134","00000085","6.5403"
"135","00000086","6.833708"
"136","00000087","10"
"137","00000088","2.447288"
"138","00000089","4.804095"
"139","0000008A","2.396355"
"140","0000008B","2.872575"
"141","0000008C","4.21863"
"142","0000008D","4.828699"
"143","0000008E","8.95787"
"144","0000008F","2.318324"
"145","00000090","7.210994"
"146","00000091","3.023494"
"147","00000092","4.445006"
"148","00000093","7.133229"
"149","00000094","1.656398"
"150","00000095","2.764812"
"151","00000096","7.114509"
"152","00000097","5.649614"
"153","00000098","5.031211"
"154","00000099","5.766889"
"155","0000009A","3.249976"
"156","0000009B","3.767686"
"157","0000009C","5.393"
"158","0000009D","4.484972"
"159","0000009E","6.29617"
"160","0000009F","2.39236"
"161","000000A0","7.134498"
"162","000000A1","3.517665"
"163","000000A2","4.191634"
"164","000000A3","9.497977"
"165","000000A4","1.654777"
"166","000000A5","3.703064"
"167","000000A6","4.23348"
"168","000000A7","3.32337"
"169","000000A8","3.021642"
"170","000000A9","2.655759508308"
"171","000000AA","2.466139"
"172","000000AB","3.178586000132"
"173","000000AC","5.272911"
"174","000000AD","3.672595"
"175","000000AE","3.851435"
"176","000000AF","9.414323"
"177","000000B0","2.986622"
"178","000000B1","6.256388"
"179","000000B2","6.358499"
"180","000000B3","2.195229"
"181","000000B4","2.549202"
"182","000000B5","1.822359"
"183","000000B6","5.473574"
"184","000000B7","5.571597"
"185","000000B8","3.507712"
"186","000000B9","4.435146"
"187","000000BA","6.105798"
"188","000000BB","5.458562"
"189","000000BC","5.918139"
"190","000000BD","6.138846"
"191","000000BE","4.593421"
"192","000000BF","2.626742"
"193","000000C0","2.095132"
"194","000000C1","4.936948"
"195","000000C2","10"
"196","000000C3","1.895238"
"197","000000C4","4.093103"
"198","000000C5","6.534664"
"199","000000C6","3.376801"
"200","000000C7","3.56972"
"201","000000C8","2.474941"
"202","000000C9","2.171529"
"203","000000CA","2.091891"
"204","000000CB","7.428904"
"205","000000CC","1.994026"
"206","000000CD","1.55834"
"207","000000CE","2.163427231274"
"208","000000CF","4.262493"
"209","000000D0","1.371132"
"210","000000D1","3.28539"
"211","000000D2","4.65919"
"212","000000D3","2.585971"
"213","000000D4","3.887550108515"
"214","000000D5","7.39113"
"215","000000D6","4.463932"
"216","000000D7","3.535861"
"217","000000D8","4.041559"
"218","000000D9","5.981286"
"219","000000DA","2.011732"
"220","000000DB","2.440453"
"221","000000DC","3.231128"
"222","000000DD","6.380697"
"223","000000DE","5.270425"
"224","000000DF","2.048016"
"225","000000E0","9.362128"
"226","000000E1","6.619414"
"227","000000E2","3.389252"
"228","000000E3","2.947491"
"229","000000E4","4.035186"
"230","000000E5","3.105572"
"231","000000E6","2.807577"
"232","000000E7","4.119957"
"233","000000E8","5.837651"
"234","000000E9","4.71634"
"235","000000EA","3.141645"
"236","000000EB","8.541798"
"237","000000EC","1.818394"
"238","000000ED","2.27161"
"239","000000EE","4.003749"
"240","000000EF","3.530607"
"241","000000F0","3.671371"
"242","000000F1","4.01546"
"243","000000F2","1.483475"
"244","000000F3","2.709577"
"245","000000F4","5.142437"
"246","000000F5","2.373965"
"247","000000F6","2.686563"
"248","000000F7","6.329209"
"249","000000F8","2.451224"
"250","000000F9","1.915951784199"
"251","000000FA","4.070626"
"252","000000FB","3.052024"
"253","000000FC","2.404673"
"254","000000FD","3.998683"
"255","000000FE","2.168491"
"256","000000FF","2.642295"
"257","00000100","2.274753"
"258","00000101","3.736139"
"259","00000102","5.845429"
"260","00000103","1.844818"
"261","00000104","3.378462"
"262","00000105","4.462957"
"263","00000106","4.21432918418"
"264","00000107","3.003926"
"265","00000108","5.950518"
"266","00000109","2.213944"
"267","0000010A","6.565331"
"268","0000010B","2.715847"
"269","0000010C","1.887702"
"270","0000010D","6.756294"
"271","0000010E","2.873468"
"272","0000010F","2.50166053456"
"273","00000110","4.164211"
"274","00000111","2.166066"
"275","00000112","3.65456"
"276","00000113","4.839802"
"277","00000114","1.998106"
"278","00000115","1.236863"
"279","00000116","2.728816"
"280","00000117","3.339124"
"281","00000118","2.004473"
"282","00000119","2.981433"
"283","0000011A","2.377081"
"284","0000011B","3.205122"
"285","0000011C","5.122082"
"286","0000011D","3.49149695886"
"287","0000011E","3.858375"
"288","0000011F","2.23916"
"289","00000120","4.194625"
"290","00000121","2.798282"
"291","00000122","2.003595"
"292","00000123","5.522882"
"293","00000124","2.804255"
"294","00000125","3.284416"
"295","00000126","4.136852"
"296","00000127","4.189425"
"297","00000128","6.046506"
"298","00000129","2.754444"
"299","0000012A","9.244646"
"300","0000012B","5.013138"
"301","0000012C","2.295712"
"302","0000012D","2.316991"
"303","0000012E","3.980063"
"304","0000012F","3.086659"
"305","00000130","10"
"306","00000131","2.484959"
"307","00000132","3.217366"
"308","00000133","2.266045"
"309","00000134","5.625898"
"310","00000135","3.635985"
"311","00000136","5.017149"
"312","00000137","5.134186"
"313","00000138","3.275503"
"314","00000139","2.911565740358"
"315","0000013A","4.342551"
"316","0000013B","3.711139"
"317","0000013C","4.646926044852"
"318","0000013D","2.052766"
"319","0000013E","2.747414"
"320","0000013F","3.928649"
"321","00000140","2.215006"
"322","00000141","5.771107"
"323","00000142","2.270518"
"324","00000143","2.398422"
"325","00000144","3.625534"
"326","00000145","4.698954"
"327","00000146","6.00595"
"328","00000147","9.816294"
"329","00000148","3.127495"
"330","00000149","1.563625"
"331","0000014A","2.649726"
"332","0000014B","5.438834"
"333","0000014C","2.746663"
"334","0000014D","5.560374"
"335","0000014E","3.816382365172"
"336","0000014F","3.287394"
"337","00000150","2.692439"
"338","00000151","5.808031"
"339","00000152","2.872873"
"340","00000153","4.5707"
"341","00000154","2.328656328668"
"342","00000155","2.095779"
"343","00000156","7.559285"
"344","00000157","3.794518"
"345","00000158","3.095571976288"
"346","00000159","1.649393"
"347","0000015A","3.768021"
"348","0000015B","4.960014"
"349","0000015C","5.024156"
"350","0000015D","3.285949"
"351","0000015E","4.521247"
"352","0000015F","2.813031163918"
"353","00000160","3.760544"
"354","00000161","4.831567"
"355","00000162","3.53224"
"356","00000163","5.585977"
"357","00000164","3.094757"
"358","00000165","3.181029"
"359","00000166","10"
"360","00000167","3.752088"
"361","00000168","6.154892"
"362","00000169","1.921501"
"363","0000016A","5.637004"
"364","0000016B","2.634899"
"365","0000016C","5.393432"
"366","0000016D","2.42847"
"367","0000016E","3.413715"
"368","0000016F","1.680189"
"369","00000170","4.337042"
"370","00000171","1.571946"
"371","00000172","6.396304"
"372","00000173","3.269150698775"
"373","00000174","1.579008"
"374","00000175","6.306494"
"375","00000176","8.630208"
"376","00000177","3.103348855522"
"377","00000178","5.497339"
"378","00000179","1.952787"
"379","0000017A","4.568364"
"380","0000017B","7.486753"
"381","0000017C","4.846376"
"382","0000017D","6.086312"
"383","0000017E","5.40059"
"384","0000017F","2.774287331501"
"385","00000180","2.153213"
"386","00000181","3.971286"
"387","00000182","4.893182"
"388","00000183","2.216236"
"389","00000184","2.146487953069"
"390","00000185","3.323941"
"391","00000186","1.907682"
"392","00000187","1.85636"
"393","00000188","8.97028"
"394","00000189","2.143628"
"395","0000018A","5.241679"
"396","0000018B","3.975784765115"
"397","0000018C","4.791055"
"398","0000018D","3.39875"
"399","0000018E","2.715891"
"400","0000018F","5.525821"
"401","00000190","2.665819"
"402","00000191","1.717984"
"403","00000192","5.589239"
"404","00000193","5.141817"
"405","00000194","3.815759"
"406","00000195","3.311337"
"407","00000196","3.780507"
"408","00000197","5.160041"
"409","00000198","3.041794"
"410","00000199","3.74331336235"
"411","0000019A","2.286559"
"412","0000019B","1.867241"
"413","0000019C","5.867154"
"414","0000019D","2.224111"
"415","0000019E","3.174141"
"416","0000019F","4.411817"
"417","000001A0","3.238392"
"418","000001A1","3.539482891319"
"419","000001A2","2.406745"
"420","000001A3","5.63822"
"421","000001A4","2.630348"
"422","000001A5","2.617925"
"423","000001A6","5.913908"
"424","000001A7","3.328894"
"425","000001A8","8.545418"
"426","000001A9","3.217809"
"427","000001AA","5.345702949378"
"428","000001AB","2.07556"
"429","000001AC","2.772387"
"430","000001AD","7.957845"
"431","000001AE","4.106082"
"432","000001AF","4.97051400571"
"433","000001B0","2.273038"
"434","000001B1","3.847208"
"435","000001B2","2.687149"
"436","000001B3","7.777214"
"437","000001B4","3.41593"
"438","000001B5","2.314183"
"439","000001B6","4.00177"
"440","000001B7","4.476651"
"441","000001B8","3.462197411443"
"442","000001B9","3.610783"
"443","000001BA","8.422895"
"444","000001BB","1.795605"
"445","000001BC","6.306506"
"446","000001BD","2.038905"
"447","000001BE","5.23601"
"448","000001BF","2.106721"
"449","000001C0","4.16026"
"450","000001C1","3.599625"
"451","000001C2","3.879576"
"452","000001C3","8.49353"
"453","000001C4","7.662047"
"454","000001C5","3.106828"
"455","000001C6","4.209223"
"456","000001C7","4.407533"
"457","000001C8","3.006243"
"458","000001C9","3.76754"
"459","000001CA","1.92175"
"460","000001CB","6.218936"
"461","000001CC","2.941977"
"462","000001CD","2.464297"
"463","000001CE","5.044011"
"464","000001CF","2.417056"
"465","000001D0","5.051378641025"
"466","000001D1","3.126842"
"467","000001D2","3.210624"
"468","000001D3","1.711604"
"469","000001D4","3.993419"
"470","000001D5","6.416978"
