id,sweep_init_time,pop_radius_at_sweep_init
00000000b,0,0
00000000bb,0,0
00000001b,0,0
00000001bb,0,0
00000002b,0,0
00000002bb,0,0
00000003b,0,0
00000003bb,441.213165,57.32010681
00000003ab,0,0
00000004bb,0,0
00000004ab,0,0
00000005bb,0,0
00000005ab,0,0
00000006bb,0,0
00000006ab,0,0
00000007bb,0,0
00000007ab,0,0
00000007bb,236.631531,27.3791852
00000008b,0,0
00000008bb,0,0
00000009b,0,0
00000009bb,0,0
0000000Ab,0,0
0000000Abb,0,0
0000000Bb,0,0
0000000Bbb,0,0
0000000Cb,0,0
0000000Cbb,0,0
0000000Db,0,0
0000000Dbb,0,0
0000000Eb,0,0
0000000Ebb,310.059662,34.89319869
0000000Eab,0,0
0000000Fbb,0,0
0000000Fab,0,0
00000010bb,0,0
00000010ab,0,0
00000011bb,0,0
00000011ab,0,0
00000012bb,0,0
00000012ab,0,0
00000012bb,497.669312,61.85535411
00000013b,0,0
00000013bb,0,0
00000014b,0,0
00000014bb,0,0
00000015b,0,0
00000015bb,0,0
00000016b,0,0
00000016bb,0,0
00000017b,0,0
00000017bb,0,0
00000018b,0,0
00000018bb,0,0
00000019b,0,0
00000019bb,0,0
0000001Ab,0,0
0000001Abb,0,0
0000001Bb,0,0
0000001Bbb,0,0
0000001Cb,0,0
0000001Cbb,0,0
0000001Db,0,0
0000001Dbb,0,0
0000001Eb,0,0
0000001Ebb,0,0
0000001Fb,0,0
0000001Fbb,0,0
00000020b,0,0
00000020bb,0,0
00000021b,0,0
00000021bb,0,0
00000021ab,350.223969,36.71136143
00000022bb,0,0
00000022b,403.990814,58.65129956
00000022bb,0,0
00000023b,0,0
00000023bb,0,0
00000024b,0,0
00000024bb,0,0
00000025b,0,0
00000025bb,0,0
00000025ab,280.52356,30.85554844
00000026bb,0,0
00000026ab,0,0
00000027bb,0,0
00000027ab,0,0
00000028bb,0,0
00000028ab,0,0
00000028bb,444.367889,48.81462699
00000029b,0,0
