,index,birth_rate_end_mean
1,00000000a,1.268928694
2,00000000aa,1.168696921
3,00000001a,1.209956609
4,00000001aa,1.173370776
5,00000002a,1.131194962
6,00000002aa,1.166208722
7,00000003a,1.129393873
8,00000003aa,1.120835
9,00000004a,1.240499169
10,00000004aa,1.221707704
11,00000005a,1.174524503
12,00000005aa,1.147754221
13,00000006a,1.14794459
14,00000006aa,1.187109529
15,00000007a,1.18732538
16,00000007aa,1.111888
17,00000008a,1.150041468
18,00000008aa,1.237174437
19,00000009a,1.112280211
20,00000009aa,1.161171016
21,0000000Aa,1.366437746
22,0000000Aaa,1.197925433
23,0000000Ba,1.15560222
24,0000000Baa,1.190929946
25,0000000Ca,1.140571988
26,0000000Caa,1.123171695
27,0000000Da,1.219522458
28,0000000Daa,1.138440723
29,0000000Ea,1.145671829
30,0000000Eaa,1.223447633
31,0000000Fa,1.138127844
32,0000000Faa,1.183490837
33,00000010a,1.136740088
34,00000010aa,1.097864889
35,00000011a,1.149794428
36,00000011aa,1.148082188
37,00000012a,1.389903099
38,00000012aa,1.142570559
39,00000013a,1.247156391
40,00000013aa,1.120259005
41,00000014a,1.294115
42,00000014aa,1.260296
43,00000015a,1.207496093
44,00000015aa,1.203833688
45,00000016a,1.162314292
46,00000016aa,1.139565861
47,00000017a,1.237631323
48,00000017aa,1.135982593
49,00000018a,1.162520544
50,00000018aa,1.161061823
51,00000019a,1.119888972
52,00000019aa,1.148479628
53,0000001Aa,1.267006549
54,0000001Aaa,1.140530465
55,0000001Ba,1.191721523
56,0000001Baa,1.227964914
57,0000001Ca,1.207617655
58,0000001Caa,1.120691319
59,0000001Da,1.157152918
60,0000001Daa,1.154765078
61,0000001Ea,1.175939891
62,0000001Eaa,1.277677332
63,0000001Fa,1.196949862
64,0000001Faa,1.216762331
65,00000020a,1.141678439
66,00000020aa,1.132416699
67,00000021a,1.169987015
68,00000021aa,1.240536147
69,00000022a,1.259630321
70,00000022aa,1.159447677
71,00000023a,1.157975446
72,00000023aa,1.152675233
73,00000024a,1.233832634
74,00000024aa,1.208846399
75,00000025a,1.153773707
76,00000025aa,1.192877603
77,00000026a,1.180495027
78,00000026aa,1.131166382
79,00000027a,1.264361796
80,00000027aa,1.21109526
81,00000028a,1.143010355
82,00000028aa,1.203316431
83,00000029a,1.21771
84,00000029aa,1.178809738
85,0000002Aa,1.250073267
86,0000002Aaa,1.143851511
87,0000002Ba,1.115580939
88,0000002Baa,1.144818586
89,0000002Ca,1.193338531
90,0000002Caa,1.196103983
91,0000002Da,1.194702
92,0000002Daa,1.162954719
93,0000002Ea,1.151942601
94,0000002Eaa,1.183353
95,0000002Fa,1.230836789
96,0000002Faa,1.148625364
97,00000030a,1.20559085
98,00000030aa,1.180470227
99,00000031a,1.170736572
100,00000031aa,1.259530056
101,00000032a,1.182660323
102,00000032aa,1.218421994
103,00000033a,1.142058413
104,00000033aa,1.225259874
105,00000034a,1.393047472
106,00000034aa,1.244932338
107,00000035a,1.23441636
108,00000035aa,1.174253351
109,00000036a,1.209887775
110,00000036aa,1.134950973
111,00000037a,1.139887628
112,00000037aa,1.161433589
113,00000038a,1.239793268
114,00000038aa,1.2757214
115,00000039a,1.199879047
116,00000039aa,1.167151304
117,0000003Aa,1.163843679
118,0000003Aaa,1.243508391
119,0000003Ba,1.183082
120,0000003Baa,1.304081008
121,0000003Ca,1.157871553
122,0000003Caa,1.188566312
123,0000003Da,1.090771213
124,0000003Daa,1.211765274
125,0000003Ea,1.248211905
126,0000003Eaa,1.139305051
127,0000003Fa,1.138919953
128,0000003Faa,1.258778037
129,00000040a,1.173145654
130,00000040aa,1.236481459
131,00000041a,1.168826145
132,00000041aa,1.207183061
133,00000042a,1.15523033
134,00000042aa,1.18225255
135,00000043a,1.157352061
136,00000043aa,1.172962717
137,00000044a,1.203972072
138,00000044aa,1.233063903
139,00000045a,1.264035229
140,00000045aa,1.136004013
141,00000046a,1.121485875
142,00000046aa,1.171558731
143,00000047a,1.147532625
144,00000047aa,1.240182468
145,00000048a,1.224847
146,00000048aa,1.229372342
147,00000049a,1.15515
148,00000049aa,1.173796208
149,0000004Aa,1.152094103
150,0000004Aaa,1.276188965
151,0000004Ba,1.208777353
152,0000004Baa,1.261824
153,0000004Ca,1.18721317
154,0000004Caa,1.244694
155,0000004Da,1.152996513
156,0000004Daa,1.209818253
157,0000004Ea,1.203361847
158,0000004Eaa,1.335361909
159,0000004Fa,1.211970062
160,0000004Faa,1.142012072
161,00000050a,1.175401147
162,00000050aa,1.187348469
163,00000051a,1.178648386
164,00000051aa,1.281427411
165,00000052a,1.11566928
166,00000052aa,1.168503303
167,00000053a,1.229515716
168,00000053aa,1.081083849
169,00000054a,1.175864992
170,00000054aa,1.175054416
171,00000055a,1.179728726
172,00000055aa,1.142240281
173,00000056a,1.08789424
174,00000056aa,1.142656702
175,00000057a,1.202665297
176,00000057aa,1.154345487
177,00000058a,1.150904537
178,00000058aa,1.103916945
179,00000059a,1.14767325
180,00000059aa,1.182780625
181,0000005Aa,1.202119121
182,0000005Aaa,1.163375076
183,0000005Ba,1.135853846
184,0000005Baa,1.350689481
185,0000005Ca,1.168251295
186,0000005Caa,1.141386779
187,0000005Da,1.304555129
188,0000005Daa,1.233978802
189,0000005Ea,1.130363352
190,0000005Eaa,1.172123467
191,0000005Fa,1.17338325
192,0000005Faa,1.111260359
193,00000060a,1.185741303
194,00000060aa,1.1459883
195,00000061a,1.136424601
196,00000061aa,1.142549615
197,00000062a,1.285532381
198,00000062aa,1.171565546
199,00000063a,1.174991068
200,00000063aa,1.159235166
201,00000064a,1.272207782
202,00000064aa,1.267118341
203,00000065a,1.21749192
204,00000065aa,1.311625431
205,00000066a,1.147937017
206,00000066aa,1.164206926
207,00000067a,1.101385566
208,00000067aa,1.192248079
209,00000068a,1.180781733
210,00000068aa,1.195966058
211,00000069a,1.16747551
212,00000069aa,1.123105115
213,0000006Aa,1.206648793
214,0000006Aaa,1.186630428
215,0000006Ba,1.105191019
216,0000006Baa,1.269010117
217,0000006Ca,1.155567032
218,0000006Caa,1.266323
219,0000006Da,1.108255025
220,0000006Daa,1.208650349
221,0000006Ea,1.182099537
222,0000006Eaa,1.20498209
223,0000006Fa,1.202394
224,0000006Faa,1.231959119
225,00000070a,1.250941076
226,00000070aa,1.168362054
227,00000071a,1.212157
228,00000071aa,1.148757559
229,00000072a,1.165014469
230,00000072aa,1.237406532
231,00000073a,1.146064472
232,00000073aa,1.184014133
233,00000074a,1.277208506
234,00000074aa,1.13933067
235,00000075a,1.202427823
236,00000075aa,1.131322294
237,00000076a,1.15171659
238,00000076aa,1.148968426
239,00000077a,1.139478114
240,00000077aa,1.273490076
241,00000078a,1.166683928
242,00000078aa,1.148717892
243,00000079a,1.145564111
244,00000079aa,1.129159258
245,0000007Aa,1.178416944
246,0000007Aaa,1.193777923
247,0000007Ba,1.212873055
248,0000007Baa,1.188853155
249,0000007Ca,1.230908058
250,0000007Caa,1.116798065
251,0000007Da,1.118183202
252,0000007Daa,1.190719728
253,0000007Ea,1.163311767
254,0000007Eaa,1.262276134
255,0000007Fa,1.119130577
256,0000007Faa,1.21534669
257,00000080a,1.163429623
258,00000080aa,1.151745433
259,00000081a,1.201886095
260,00000081aa,1.165508839
261,00000082a,1.21955408
262,00000082aa,1.181701785
263,00000083a,1.341472561
264,00000083aa,1.178240952
265,00000084a,1.099947782
266,00000084aa,1.217402037
267,00000085a,1.12255899
268,00000085aa,1.13220141
269,00000086a,1.186961103
270,00000086aa,1.159532209
271,00000087a,1.280547528
272,00000087aa,1.400406626
273,00000088a,1.245249306
274,00000088aa,1.159867483
275,00000089a,1.140832356
276,00000089aa,1.231790736
277,0000008Aa,1.157909164
278,0000008Aaa,1.144138247
279,0000008Ba,1.144317244
280,0000008Baa,1.45076
281,0000008Ca,1.112966331
282,0000008Caa,1.287261238
283,0000008Da,1.154613874
284,0000008Daa,1.183305809
285,0000008Ea,1.124960061
286,0000008Eaa,1.198947
287,0000008Fa,1.163622948
288,0000008Faa,1.184834804
289,00000090a,1.349841639
290,00000090aa,1.1696048
291,00000091a,1.148659684
292,00000091aa,1.351862664
293,00000092a,1.147476945
294,00000092aa,1.142159872
295,00000093a,1.144299086
296,00000093aa,1.167535925
297,00000094a,1.165383
298,00000094aa,1.311064
299,00000095a,1.217583458
300,00000095aa,1.090698176
301,00000096a,1.201976211
302,00000096aa,1.182059957
303,00000097a,1.205282999
304,00000097aa,1.179608742
305,00000098a,1.161095064
306,00000098aa,1.246648482
307,00000099a,1.101249507
308,00000099aa,1.232114694
309,0000009Aa,1.172137811
310,0000009Aaa,1.306480841
311,0000009Ba,1.114815452
312,0000009Baa,1.176585686
313,0000009Ca,1.159536404
314,0000009Caa,1.275425295
315,0000009Da,1.181304607
316,0000009Daa,1.229527087
317,0000009Ea,1.110461349
318,0000009Eaa,1.166231896
319,0000009Fa,1.133404042
320,0000009Faa,1.127313352
321,000000A0a,1.289082492
322,000000A0aa,1.207451621
323,000000A1a,1.121209799
324,000000A1aa,1.107278205
325,000000A2a,1.139624845
326,000000A2aa,1.230411657
327,000000A3a,1.219687169
328,000000A3aa,1.19570175
329,000000A4a,1.243352499
330,000000A4aa,1.124705706
331,000000A5a,1.196567283
332,000000A5aa,1.170488011
333,000000A6a,1.182806438
334,000000A6aa,1.184421719
335,000000A7a,1.151590435
336,000000A7aa,1.140977487
337,000000A8a,1.174015056
338,000000A8aa,1.17514916
339,000000A9a,1.169467143
340,000000A9aa,1.143560632
341,000000AAa,1.208979815
342,000000AAaa,1.135497968
343,000000ABa,1.175469438
344,000000ABaa,1.132021318
345,000000ACa,1.158877149
346,000000ACaa,1.13427347
347,000000ADa,1.159573044
348,000000ADaa,1.152731184
349,000000AEa,1.186313894
350,000000AEaa,1.185696269
351,000000AFa,1.169221641
352,000000AFaa,1.223057731
353,000000B0a,1.179927282
354,000000B0aa,1.172994915
355,000000B1a,1.163890355
356,000000B1aa,1.186321685
357,000000B2a,1.140655882
358,000000B2aa,1.16912395
359,000000B3a,1.206969199
360,000000B3aa,1.165233872
361,000000B4a,1.132194081
362,000000B4aa,1.168747741
363,000000B5a,1.138688135
364,000000B5aa,1.19393056
365,000000B6a,1.157009976
366,000000B6aa,1.170707272
367,000000B7a,1.151670386
368,000000B7aa,1.11429
369,000000B8a,1.292196133
370,000000B8aa,1.232336845
371,000000B9a,1.194134052
372,000000B9aa,1.296172
373,000000BAa,1.21319314
374,000000BAaa,1.141426676
375,000000BBa,1.152394139
376,000000BBaa,1.110298496
377,000000BCa,1.229577295
378,000000BCaa,1.143515775
379,000000BDa,1.211580311
380,000000BDaa,1.111544842
381,000000BEa,1.187113848
382,000000BEaa,1.175970101
383,000000BFa,1.324728006
384,000000BFaa,1.194707026
385,000000C0a,1.169712561
386,000000C0aa,1.123195957
387,000000C1a,1.154138183
388,000000C1aa,1.165306691
389,000000C2a,1.149040751
390,000000C2aa,1.260556175
391,000000C3a,1.161469096
392,000000C3aa,1.147101856
393,000000C4a,1.210506806
394,000000C4aa,1.231472031
395,000000C5a,1.170900114
396,000000C5aa,1.259322857
397,000000C6a,1.146058329
398,000000C6aa,1.106813517
399,000000C7a,1.143613088
400,000000C7aa,1.114153969
401,000000C8a,1.112989392
402,000000C8aa,1.16413411
403,000000C9a,1.234235654
404,000000C9aa,1.138617006
405,000000CAa,1.183691922
406,000000CAaa,1.207479017
407,000000CBa,1.256509412
408,000000CBaa,1.242295762
409,000000CCa,1.173910467
410,000000CCaa,1.085869104
411,000000CDa,1.160680772
412,000000CDaa,1.150744191
413,000000CEa,1.412299
414,000000CEaa,1.121444107
415,000000CFa,1.21284299
416,000000CFaa,1.143207639
417,000000D0a,1.158674014
418,000000D0aa,1.202515242
419,000000D1a,1.140744528
420,000000D1aa,1.141694718
421,000000D2a,1.227582
422,000000D2aa,1.183483793
423,000000D3a,1.154567869
424,000000D3aa,1.110431236
425,000000D4a,1.132291325
426,000000D4aa,1.20604492
427,000000D5a,1.165118568
428,000000D5aa,1.218104904
429,000000D6a,1.16539708
430,000000D6aa,1.168623221
431,000000D7a,1.184530738
432,000000D7aa,1.160426375
433,000000D8a,1.23899916
434,000000D8aa,1.229128022
435,000000D9a,1.196153841
436,000000D9aa,1.147626295
437,000000DAa,1.333457823
438,000000DAaa,1.323873161
439,000000DBa,1.224579076
440,000000DBaa,1.148494758
441,000000DCa,1.129544
442,000000DCaa,1.155432686
443,000000DDa,1.137839812
444,000000DDaa,1.148316051
445,000000DEa,1.390214045
446,000000DEaa,1.183191
447,000000DFa,1.211862298
448,000000DFaa,1.176617405
449,000000E0a,1.174170879
450,000000E0aa,1.152917321
451,000000E1a,1.24783807
452,000000E1aa,1.266467467
453,000000E2a,1.23071416
454,000000E2aa,1.132102391
455,000000E3a,1.176708292
456,000000E3aa,1.206950483
457,000000E4a,1.231318594
458,000000E4aa,1.137506929
459,000000E5a,1.149463237
460,000000E5aa,1.236312952
461,000000E6a,1.18708582
462,000000E6aa,1.089638902
463,000000E7a,1.223021215
464,000000E7aa,1.170364796
465,000000E8a,1.209664239
466,000000E8aa,1.195618334
467,000000E9a,1.155415957
468,000000E9aa,1.141521872
469,000000EAa,1.200445275
470,000000EAaa,1.153138676
471,000000EBa,1.232298
472,000000EBaa,1.171651719
473,000000ECa,1.20519912
474,000000ECaa,1.130587388
475,000000EDa,1.13508672
476,000000EDaa,1.149135092
477,000000EEa,1.218800264
478,000000EEaa,1.1946776
479,000000EFa,1.110682822
480,000000EFaa,1.276176212
481,000000F0a,1.180113
482,000000F0aa,1.185406439
483,000000F1a,1.193850977
484,000000F1aa,1.127167246
485,000000F2a,1.193151847
486,000000F2aa,1.109312298
487,000000F3a,1.247781
488,000000F3aa,1.132628381
489,000000F4a,1.247124508
490,000000F4aa,1.154790771
491,000000F5a,1.190263794
492,000000F5aa,1.153685731
493,000000F6a,1.237598641
494,000000F6aa,1.150383371
495,000000F7a,1.249667
496,000000F7aa,1.242359697
497,000000F8a,1.157054632
498,000000F8aa,1.12877318
499,000000F9a,1.187698799
500,000000F9aa,1.182022693
501,000000FAa,1.205089348
502,000000FAaa,1.131032136
503,000000FBa,1.117495521
504,000000FBaa,1.126062859
505,000000FCa,1.161417266
506,000000FCaa,1.176539758
507,000000FDa,1.258284
508,000000FDaa,1.165748362
509,000000FEa,1.123023678
510,000000FEaa,1.15572591
511,000000FFa,1.175524288
512,000000FFaa,1.189665922
513,00000100a,1.13555097
514,00000100aa,1.212185
515,00000101a,1.140375056
516,00000101aa,1.191647411
517,00000102a,1.16829404
518,00000102aa,1.113862152
519,00000103a,1.172569479
520,00000103aa,1.16143933
521,00000104a,1.30751519
522,00000104aa,1.148935557
523,00000105a,1.147817538
524,00000105aa,1.189341879
525,00000106a,1.149723874
526,00000106aa,1.213993911
527,00000107a,1.270021744
528,00000107aa,1.254459302
529,00000108a,1.219301446
530,00000108aa,1.237763124
531,00000109a,1.154744816
532,00000109aa,1.174323256
533,0000010Aa,1.206750576
534,0000010Aaa,1.301904
535,0000010Ba,1.164288908
536,0000010Baa,1.180678617
537,0000010Ca,1.188682812
538,0000010Caa,1.18441293
539,0000010Da,1.11983906
540,0000010Daa,1.158236287
541,0000010Ea,1.289447609
542,0000010Eaa,1.175285245
543,0000010Fa,1.223593657
544,0000010Faa,1.202300911
545,00000110a,1.342411802
546,00000110aa,1.197686189
547,00000111a,1.220603238
548,00000111aa,1.134419648
549,00000112a,1.315542
550,00000112aa,1.171478302
551,00000113a,1.211943227
