,index,mu_driver_birth,s_driver_birth
1,00000000b,1e-05,0.05
2,00000000bb,1e-05,0.05
3,00000001b,1e-05,0.05
4,00000001bb,1e-05,0.05
5,00000002b,1e-05,0.05
6,00000002bb,1e-05,0.05
7,00000003b,1e-05,0.05
8,00000003bb,1e-05,0.05
9,00000004b,1e-05,0.05
10,00000004bb,1e-05,0.05
11,00000005b,1e-05,0.05
12,00000005bb,1e-05,0.05
13,00000006b,1e-05,0.05
14,00000006bb,1e-05,0.05
15,00000007b,1e-05,0.05
16,00000007bb,1e-05,0.05
17,00000008b,1e-05,0.05
18,00000008bb,1e-05,0.05
19,00000009b,1e-05,0.05
20,00000009bb,1e-05,0.05
21,0000000bb,1e-05,0.05
22,0000000bbb,1e-05,0.05
23,0000000Bb,1e-05,0.05
24,0000000Bbb,1e-05,0.05
25,0000000Cb,1e-05,0.05
26,0000000Cbb,1e-05,0.05
27,0000000Db,1e-05,0.05
28,0000000Dbb,1e-05,0.05
29,0000000Eb,1e-05,0.05
30,0000000Ebb,1e-05,0.05
31,0000000Fb,1e-05,0.05
32,0000000Fbb,1e-05,0.05
33,00000010b,1e-05,0.05
34,00000010bb,1e-05,0.05
35,00000011b,1e-05,0.05
36,00000011bb,1e-05,0.05
37,00000012b,1e-05,0.05
38,00000012bb,1e-05,0.05
39,00000013b,1e-05,0.05
40,00000013bb,1e-05,0.05
41,00000014b,1e-05,0.05
42,00000014bb,1e-05,0.05
43,00000015b,1e-05,0.05
44,00000015bb,1e-05,0.05
45,00000016b,1e-05,0.05
46,00000016bb,1e-05,0.05
47,00000017b,1e-05,0.05
48,00000017bb,1e-05,0.05
49,00000018b,1e-05,0.05
50,00000018bb,1e-05,0.05
51,00000019b,1e-05,0.05
52,00000019bb,1e-05,0.05
53,0000001bb,1e-05,0.05
54,0000001bbb,1e-05,0.05
55,0000001Bb,1e-05,0.05
56,0000001Bbb,1e-05,0.05
57,0000001Cb,1e-05,0.05
58,0000001Cbb,1e-05,0.05
59,0000001Db,1e-05,0.05
60,0000001Dbb,1e-05,0.05
61,0000001Eb,1e-05,0.05
62,0000001Ebb,1e-05,0.05
63,0000001Fb,1e-05,0.05
64,0000001Fbb,1e-05,0.05
65,00000020b,1e-05,0.05
66,00000020bb,1e-05,0.05
67,00000021b,1e-05,0.05
68,00000021bb,1e-05,0.05
69,00000022b,1e-05,0.05
70,00000022bb,1e-05,0.05
71,00000023b,1e-05,0.05
72,00000023bb,1e-05,0.05
73,00000024b,1e-05,0.05
74,00000024bb,1e-05,0.05
75,00000025b,1e-05,0.05
76,00000025bb,1e-05,0.05
77,00000026b,1e-05,0.05
78,00000026bb,1e-05,0.05
79,00000027b,1e-05,0.05
80,00000027bb,1e-05,0.05
81,00000028b,1e-05,0.05
82,00000028bb,1e-05,0.05
83,00000029b,1e-05,0.05
84,00000029bb,1e-05,0.05
85,0000002bb,1e-05,0.05
86,0000002bbb,1e-05,0.05
87,0000002Bb,1e-05,0.05
88,0000002Bbb,1e-05,0.05
89,0000002Cb,1e-05,0.05
90,0000002Cbb,1e-05,0.05
91,0000002Db,1e-05,0.05
92,0000002Dbb,1e-05,0.05
93,0000002Eb,1e-05,0.05
94,0000002Ebb,1e-05,0.05
95,0000002Fb,1e-05,0.05
96,0000002Fbb,1e-05,0.05
97,00000030b,1e-05,0.05
