,index,birth_rate_end_mean
1,00000000d,1.244565266
2,00000001d,1.573797
3,00000002d,1.21551261
4,00000003d,1.263294944
5,00000004d,1.312571177
6,00000005d,1.326042558
7,00000006d,1.30708
8,00000007d,1.261844114
9,00000008d,1.305462
10,00000009d,1.285616131
11,0000000Ad,1.289903
12,0000000Bd,1.258714988
13,0000000Cd,1.282122629
14,0000000Dd,1.230529734
15,0000000Ed,1.17616962
16,0000000Fd,1.207781488
17,00000010d,1.524321518
18,00000011d,1.277050686
19,00000012d,1.266631681
20,00000013d,1.238716
21,00000014d,1.177586607
22,00000015d,1.246335418
23,00000016d,1.25734317
24,00000017d,1.207298905
25,00000018d,1.21705288
26,00000019d,1.22906
27,0000001Ad,1.233378447
28,0000001Bd,1.276330401
29,0000001Cd,1.223453936
30,0000001Dd,1.265071912
31,0000001Ed,1.253118056
32,0000001Fd,1.219286564
33,00000020d,1.203309206
34,00000021d,1.191899694
35,00000022d,1.246275514
36,00000023d,1.244252501
37,00000024d,1.518143
38,00000025d,1.297716342
39,00000026d,1.34562819
40,00000027d,1.326267604
41,00000028d,1.306126506
42,00000029d,1.189360385
43,0000002Ad,1.138682528
44,0000002Bd,1.199446978
45,0000002Cd,1.396684663
46,0000002Dd,1.34063793
47,0000002Ed,1.27503
48,0000002Fd,1.243126486
49,00000030d,1.282725108
50,00000031d,1.379823208
51,00000032d,1.417173193
52,00000033d,1.310837075
53,00000034d,1.213549259
54,00000035d,1.361203325
55,00000036d,1.307407605
56,00000037d,1.382511669
57,00000038d,1.429964
58,00000039d,1.289032
59,0000003Ad,1.216996761
60,0000003Bd,1.275292337
61,0000003Cd,1.427437524
62,0000003Dd,1.207665502
63,0000003Ed,1.284543
64,0000003Fd,1.322993843
65,00000040d,1.541995039
66,00000041d,1.217345065
67,00000042d,1.310324537
68,00000043d,1.234428126
69,00000044d,1.343136591
70,00000045d,1.180862
71,00000046d,1.252303
72,00000047d,1.29344602
73,00000048d,1.303481776
74,00000049d,1.19030055
75,0000004Ad,1.302493
76,0000004Bd,1.392736
77,0000004Cd,1.200690913
78,0000004Dd,1.30099
79,0000004Ed,1.198974077
80,0000004Fd,1.188672859
81,00000050d,1.279217169
82,00000051d,1.592763
83,00000052d,1.219284732
84,00000053d,1.444958923
85,00000054d,1.311809044
86,00000055d,1.220271214
87,00000056d,1.393467329
88,00000057d,1.037162
89,00000058d,1.242695388
90,00000059d,1.30986413
91,0000005Ad,1.17886017
92,0000005Bd,1.308344118
93,0000005Cd,1.264229
94,0000005Dd,1.214461588
95,0000005Ed,1.343823504
96,0000005Fd,1.191483392
97,00000060d,1.168032
98,00000061d,1.323417229
99,00000062d,1.243638235
100,00000063d,1.263749
101,00000064d,1.587032
102,00000065d,1.288873416
103,00000066d,1.171707543
104,00000067d,1.322040313
105,00000068d,1.393502878
106,00000069d,1.350608512
107,0000006Ad,1.297064748
108,0000006Bd,1.309777893
109,0000006Cd,1.252689
110,0000006Dd,1.541283686
111,0000006Ed,1.173024456
112,0000006Fd,1.410856276
113,00000070d,1.303238775
114,00000071d,1.26754732
115,00000072d,1.235819549
116,00000073d,1.233621641
117,00000074d,1.451143327
118,00000075d,1.272322024
119,00000076d,1.366885
120,00000077d,1.397352046
121,00000078d,1.22373104
122,00000079d,1.26262516
123,0000007Ad,1.303250699
124,0000007Bd,1.275952215
125,0000007Cd,1.266090041
126,0000007Dd,1.384036
127,0000007Ed,1.205521028
128,0000007Fd,1.259676545
129,00000080d,1.226778876
130,00000081d,1.329770926
131,00000082d,1.310184473
132,00000083d,1.218715595
133,00000084d,1.216584932
134,00000085d,1.215375787
135,00000086d,1.230484552
136,00000087d,1.228275654
137,00000088d,1.257699675
138,00000089d,1.163139084
139,0000008Ad,1.218123476
140,0000008Bd,1.215339
141,0000008Cd,1.306238782
142,0000008Dd,1.291639432
143,0000008Ed,1.29842
144,0000008Fd,1.263045486
145,00000090d,1.315012
146,00000091d,1.206023083
147,00000092d,1.427588905
148,00000093d,1.311816
149,00000094d,1.271334
150,00000095d,1.128946
151,00000096d,1.218570044
152,00000097d,1.357255
153,00000098d,1.397407007
154,00000099d,1.361302367
155,0000009Ad,1.426873606
156,0000009Bd,1.166986001
157,0000009Cd,1.138534265
158,0000009Dd,1.130687
159,0000009Ed,1.505457884
160,0000009Fd,1.291531875
161,000000A0d,1.279874834
162,000000A1d,1.180457773
163,000000A2d,1.209563395
164,000000A3d,1.19908336
165,000000A4d,1.259069569
166,000000A5d,1.17119015
167,000000A6d,1.218132614
168,000000A7d,1.315265
169,000000A8d,1.229586394
170,000000A9d,1.375920443
171,000000AAd,1.176068098
172,000000ABd,1.184323698
173,000000ACd,1.25549224
174,000000ADd,1.526147747
175,000000AEd,1.23436002
176,000000AFd,1.294074524
177,000000B0d,1.217988848
