"","index","birth_rate_end_mean"
"1","00000000","5.766986"
"2","00000001","10"
"3","00000002","4.608454"
"4","00000003","10"
"5","00000004","9.511971555805"
"6","00000005","10"
"7","00000006","9.977422284008"
"8","00000007","10"
"9","00000008","9.998935913949"
"10","00000009","10"
"11","0000000A","9.95649319044"
"12","0000000B","9.424639863175"
"13","0000000C","8.816915"
"14","0000000D","7.763604"
"15","0000000E","8.580722677344"
"16","0000000F","7.435054774988"
"17","00000010","10"
"18","00000011","10"
"19","00000012","9.919316029012"
"20","00000013","10"
"21","00000014","9.999217354398"
"22","00000015","10"
"23","00000016","10"
"24","00000017","10"
"25","00000018","9.725021395086"
"26","00000019","9.275409649675"
"27","0000001A","7.826745"
"28","0000001B","10"
"29","0000001C","9.294598"
"30","0000001D","9.042194510857"
"31","0000001E","10"
"32","0000001F","9.998685162927"
"33","00000020","9.033099709491"
"34","00000021","9.655009420204"
"35","00000022","10"
"36","00000023","9.907325587792"
"37","00000024","9.698183041016"
"38","00000025","9.806585008777"
"39","00000026","7.10888266376"
"40","00000027","9.959265181624"
"41","00000028","10"
"42","00000029","9.998289851681"
"43","0000002A","5.678147"
"44","0000002B","10"
"45","0000002C","8.406633938191"
"46","0000002D","10"
"47","0000002E","9.327392685026"
"48","0000002F","9.331674"
"49","00000030","7.010443"
"50","00000031","2.851658"
"51","00000032","9.999529538155"
"52","00000033","9.947008760582"
"53","00000034","8.820738245476"
"54","00000035","9.999876339128"
"55","00000036","9.057771076312"
"56","00000037","9.820045060263"
"57","00000038","9.51030354548199"
"58","00000039","9.822209731589"
"59","0000003A","7.207663481556"
"60","0000003B","9.812673978304"
"61","0000003C","8.477533"
"62","0000003D","3.656276"
"63","0000003E","9.944094369268"
"64","0000003F","9.926951049704"
"65","00000040","10"
"66","00000041","5.968407"
"67","00000042","10"
"68","00000043","10"
"69","00000044","7.880407810095"
"70","00000045","9.935726277665"
"71","00000046","9.858180302569"
"72","00000047","8.541354"
"73","00000048","5.203651"
"74","00000049","4.358726489155"
"75","0000004A","9.826047664835"
"76","0000004B","9.247604"
"77","0000004C","10"
"78","0000004D","10"
"79","0000004E","9.738759492976"
"80","0000004F","10"
"81","00000050","9.99975001747"
"82","00000051","9.566696"
"83","00000052","9.467690530719"
"84","00000053","10"
"85","00000054","8.07968"
"86","00000055","9.391122841846"
"87","00000056","9.265605"
"88","00000057","9.550763"
"89","00000058","8.623559"
"90","00000059","9.497076535485"
"91","0000005A","9.73254695722"
"92","0000005B","9.981684550598"
"93","0000005C","9.993399927168"
"94","0000005D","9.98901581074"
"95","0000005E","10"
"96","0000005F","10"
"97","00000060","9.276863801712"
"98","00000061","10"
"99","00000062","9.958727072603"
"100","00000063","9.32294050458"
"101","00000064","10"
"102","00000065","10"
"103","00000066","10"
"104","00000067","9.890181991476"
"105","00000068","9.558090893817"
"106","00000069","9.240953"
"107","0000006A","5.108292"
"108","0000006B","9.852754535998"
"109","0000006C","9.971935054012"
"110","0000006D","8.42744527238"
"111","0000006E","10"
"112","0000006F","10"
"113","00000070","7.3938231677"
"114","00000071","9.375254440718"
"115","00000072","9.994599532963"
"116","00000073","9.3242496469"
"117","00000074","9.018501170376"
"118","00000075","10"
"119","00000076","8.39621"
"120","00000077","8.186778"
"121","00000078","9.99823583626"
"122","00000079","10"
"123","0000007A","9.73346410234399"
"124","0000007B","10"
"125","0000007C","9.916510253966"
"126","0000007D","9.349440940369"
"127","0000007E","10"
"128","0000007F","7.113341"
"129","00000080","9.639576244341"
"130","00000081","8.286589702882"
"131","00000082","9.989811043108"
"132","00000083","7.674241"
"133","00000084","5.043313"
"134","00000085","9.737315380465"
"135","00000086","9.863234774861"
"136","00000087","9.95410814623"
"137","00000088","2.713997"
"138","00000089","10"
"139","0000008A","8.883585"
"140","0000008B","9.035510420105"
"141","0000008C","9.32647905900201"
"142","0000008D","10"
"143","0000008E","9.494512799052"
"144","0000008F","8.368332"
"145","00000090","9.769398078372"
"146","00000091","9.58574437344"
"147","00000092","9.809810249604"
"148","00000093","9.686214889863"
"149","00000094","9.878597"
"150","00000095","10"
"151","00000096","9.695580714713"
"152","00000097","9.813220908766"
"153","00000098","9.49774562073"
"154","00000099","10"
"155","0000009A","8.498500631776"
"156","0000009B","9.628804081181"
"157","0000009C","9.916866969878"
"158","0000009D","10"
"159","0000009E","10"
"160","0000009F","9.048503059192"
"161","000000A0","9.660313191901"
"162","000000A1","8.699389663692"
"163","000000A2","9.688009173203"
"164","000000A3","9.367481"
"165","000000A4","9.615986553365"
"166","000000A5","9.935231934491"
"167","000000A6","9.685742626047"
"168","000000A7","9.685704332352"
"169","000000A8","10"
"170","000000A9","10"
"171","000000AA","6.106539107518"
"172","000000AB","9.52882620548"
"173","000000AC","10"
"174","000000AD","9.863185093153"
"175","000000AE","9.996851"
"176","000000AF","9.15179233825"
"177","000000B0","9.831310264085"
"178","000000B1","9.542740881582"
"179","000000B2","9.879953191019"
"180","000000B3","9.996791801485"
"181","000000B4","10"
"182","000000B5","7.371881"
"183","000000B6","10"
"184","000000B7","9.947972805561"
"185","000000B8","9.99864067798"
"186","000000B9","9.774904"
"187","000000BA","9.841366341458"
"188","000000BB","9.78105253264"
"189","000000BC","4.885287"
"190","000000BD","9.99970145"
"191","000000BE","8.679198"
"192","000000BF","9.573905890911"
"193","000000C0","10"
"194","000000C1","9.270261"
"195","000000C2","10"
"196","000000C3","3.75112"
"197","000000C4","10"
"198","000000C5","9.944687527372"
"199","000000C6","8.989173"
"200","000000C7","9.245482278116"
"201","000000C8","8.634615"
"202","000000C9","6.223578"
"203","000000CA","7.700160373854"
"204","000000CB","9.795607875338"
"205","000000CC","10"
"206","000000CD","5.598896"
"207","000000CE","9.14069978146"
"208","000000CF","9.917274668184"
"209","000000D0","9.198095318884"
"210","000000D1","10"
"211","000000D2","9.959334344937"
"212","000000D3","8.932048"
"213","000000D4","9.999629971944"
"214","000000D5","9.675052290883"
"215","000000D6","9.883923376025"
"216","000000D7","10"
"217","000000D8","9.864558753254"
"218","000000D9","9.972621784814"
"219","000000DA","9.30074017814201"
"220","000000DB","10"
"221","000000DC","10"
"222","000000DD","9.824311199902"
"223","000000DE","9.998744169345"
"224","000000DF","9.369978724996"
"225","000000E0","9.588107238162"
"226","000000E1","9.817163152411"
"227","000000E2","8.258201451375"
"228","000000E3","9.99291667508"
"229","000000E4","6.002094"
"230","000000E5","10"
"231","000000E6","9.999108730108"
"232","000000E7","9.893368035496"
"233","000000E8","9.998377896263"
"234","000000E9","10"
"235","000000EA","10"
"236","000000EB","9.319766878651"
"237","000000EC","7.922469674513"
"238","000000ED","9.314126230013"
"239","000000EE","9.817831686715"
"240","000000EF","9.377282860937"
"241","000000F0","9.300617301321"
"242","000000F1","10"
"243","000000F2","4.245405"
"244","000000F3","8.90463378013"
"245","000000F4","10"
"246","000000F5","9.999794741527"
