,index,mu_driver_birth,s_driver_birth
1,00000000,1e-05,10
2,00000000a,1e-05,10
3,00000001,1e-05,10
4,00000001a,1e-05,10
5,00000002,1e-05,10
6,00000002a,1e-05,10
7,00000003,1e-05,10
8,00000003a,1e-05,10
9,00000004,1e-05,10
10,00000004a,1e-05,10
11,00000005,1e-05,10
12,00000005a,1e-05,10
13,00000006,1e-05,10
14,00000006a,1e-05,10
15,00000007,1e-05,10
16,00000007a,1e-05,10
17,00000008,1e-05,10
18,00000008a,1e-05,10
19,00000009,1e-05,10
20,00000009a,1e-05,10
21,0000000A,1e-05,10
22,0000000Aa,1e-05,10
23,0000000B,1e-05,10
24,0000000Ba,1e-05,10
25,0000000C,1e-05,10
26,0000000D,1e-05,10
27,0000000Da,1e-05,10
28,0000000E,1e-05,10
29,0000000Ea,1e-05,10
30,0000000F,1e-05,10
31,0000000Fa,1e-05,10
32,00000010,1e-05,10
33,00000010a,1e-05,10
34,00000011,1e-05,10
35,00000012,1e-05,10
36,00000012a,1e-05,10
37,00000013,1e-05,10
38,00000013a,1e-05,10
39,00000014,1e-05,10
40,00000014a,1e-05,10
41,00000015,1e-05,10
42,00000015a,1e-05,10
43,00000016,1e-05,10
44,00000016a,1e-05,10
45,00000017,1e-05,10
46,00000017a,1e-05,10
47,00000018,1e-05,10
48,00000018a,1e-05,10
49,00000019,1e-05,10
50,00000019a,1e-05,10
51,0000001A,1e-05,10
52,0000001Aa,1e-05,10
53,0000001B,1e-05,10
54,0000001Ba,1e-05,10
55,0000001C,1e-05,10
56,0000001Ca,1e-05,10
57,0000001D,1e-05,10
58,0000001Da,1e-05,10
59,0000001E,1e-05,10
60,0000001F,1e-05,10
61,0000001Fa,1e-05,10
62,00000020,1e-05,10
63,00000020a,1e-05,10
64,00000021,1e-05,10
65,00000021a,1e-05,10
66,00000022,1e-05,10
67,00000022a,1e-05,10
68,00000023,1e-05,10
69,00000023a,1e-05,10
70,00000024,1e-05,10
71,00000024a,1e-05,10
72,00000025,1e-05,10
73,00000025a,1e-05,10
74,00000026,1e-05,10
75,00000026a,1e-05,10
76,00000027,1e-05,10
77,00000027a,1e-05,10
78,00000028,1e-05,10
79,00000028a,1e-05,10
80,00000029,1e-05,10
81,00000029a,1e-05,10
82,0000002A,1e-05,10
83,0000002Aa,1e-05,10
84,0000002B,1e-05,10
85,0000002Ba,1e-05,10
86,0000002C,1e-05,10
87,0000002Ca,1e-05,10
88,0000002D,1e-05,10
89,0000002Da,1e-05,10
90,0000002E,1e-05,10
91,0000002Ea,1e-05,10
92,0000002F,1e-05,10
93,0000002Fa,1e-05,10
94,00000030,1e-05,10
95,00000030a,1e-05,10
96,00000031,1e-05,10
97,00000031a,1e-05,10
98,00000032,1e-05,10
99,00000032a,1e-05,10
100,00000033,1e-05,10
101,00000033a,1e-05,10
102,00000034,1e-05,10
103,00000034a,1e-05,10
104,00000035,1e-05,10
105,00000035a,1e-05,10
106,00000036,1e-05,10
107,00000036a,1e-05,10
108,00000037,1e-05,10
109,00000037a,1e-05,10
110,00000038,1e-05,10
111,00000039,1e-05,10
112,0000003A,1e-05,10
113,0000003Aa,1e-05,10
114,0000003B,1e-05,10
115,0000003Ba,1e-05,10
116,0000003C,1e-05,10
117,0000003Ca,1e-05,10
118,0000003D,1e-05,10
119,0000003Da,1e-05,10
120,0000003E,1e-05,10
121,0000003Ea,1e-05,10
122,0000003F,1e-05,10
123,0000003Fa,1e-05,10
124,00000040,1e-05,10
125,00000040a,1e-05,10
126,00000041,1e-05,10
127,00000041a,1e-05,10
128,00000042,1e-05,10
129,00000042a,1e-05,10
130,00000043,1e-05,10
131,00000044,1e-05,10
132,00000045,1e-05,10
133,00000045a,1e-05,10
134,00000046,1e-05,10
