,id,speed_early,speed_late
1,00000000,0.02279641,0.024153377
2,00000001,0.023954583,0.024042588
3,00000002,0.023707966,0.024138328
4,00000003,0.024218447,0.023798778
5,00000004,0.024936746,0.0237372
6,00000005,0.023293023,0.023610066
7,00000006,0.024349334,0.023776501
8,00000007,0.021958846,0.024405669
9,00000008,0.0233899,0.024322277
10,00000009,0.022281063,0.023487875
11,0000000A,0.021518852,0.022635266
12,0000000B,0.022874599,0.022543529
13,0000000C,0.022966241,0.022606669
14,0000000D,0.021270285,0.022398591
15,0000000E,0.020464086,0.022638635
16,0000000F,0.021750771,0.022783512
17,00000010,0.022173057,0.022360394
18,00000011,0.021826406,0.023091116
19,00000012,0.02191679,0.022532809
20,00000013,0.02233906,0.023089459
21,00000014,0.020188996,0.021587469
22,00000015,0.02187282,0.021384022
23,00000016,0.020343155,0.021149028
24,00000017,0.020675166,0.021242794
25,00000018,0.020495799,0.020987616
26,00000019,0.021682389,0.021411533
27,0000001A,0.020276396,0.021523982
28,0000001B,0.019385661,0.021210648
29,0000001C,0.021238559,0.021426177
30,0000001D,0.021267409,0.021412519
31,0000001E,0.019942081,0.020281498
32,0000001F,0.018855046,0.02040111
33,00000020,0.020579308,0.020255025
34,00000021,0.020266166,0.020416699
35,00000022,0.020575233,0.020092721
36,00000023,0.020020393,0.020689909
37,00000024,0.01895248,0.020273393
38,00000025,0.02048676,0.020421449
39,00000026,0.019006609,0.020640876
40,00000027,0.02065227,0.020005478
41,00000028,0.018819659,0.019305132
42,00000029,0.018596633,0.019160402
43,0000002A,0.017245526,0.018954878
44,0000002B,0.017965619,0.019276072
45,0000002C,0.019038791,0.01928783
46,0000002D,0.018749985,0.019111254
47,0000002E,0.017273793,0.019430339
48,0000002F,0.01983092,0.019318126
49,00000030,0.018886288,0.019687833
50,00000031,0.017810427,0.019281793
51,00000032,0.018575388,0.018043293
52,00000033,0.017907985,0.018243835
53,00000034,0.017290407,0.018285689
54,00000035,0.017772878,0.018373629
55,00000036,0.016385594,0.017985772
56,00000037,0.017294958,0.018053059
57,00000038,0.016493586,0.01833152
58,00000039,0.016486692,0.01836244
59,0000003A,0.016645278,0.018207154
60,0000003B,0.018352244,0.017940197
61,0000003C,0.015794752,0.01752771
62,0000003D,0.01679206,0.017195408
63,0000003E,0.016359747,0.016921574
64,0000003F,0.016488711,0.016369479
65,00000040,0.015222826,0.01737418
66,00000041,0.015861983,0.016502595
67,00000042,0.01822987,0.017287585
68,00000043,0.015185273,0.016736567
69,00000044,0.015221699,0.016890497
70,00000045,0.017640858,0.016765871
71,00000046,0.014776063,0.015515746
72,00000047,0.015001072,0.016221162
73,00000048,0.014568909,0.015420385
74,00000049,0.015905589,0.016168908
75,0000004A,0.015673398,0.015949376
76,0000004B,0.015685159,0.015548956
77,0000004C,0.01606312,0.015690983
78,0000004D,0.015028994,0.015854921
79,0000004E,0.014966931,0.015633531
80,0000004F,0.015509697,0.01573035
81,00000050,0.014541141,0.014342886
82,00000051,0.014508278,0.014582656
83,00000052,0.014055802,0.014740856
84,00000053,0.014423401,0.014742484
85,00000054,0.01458441,0.014822357
86,00000055,0.015218416,0.015024329
87,00000056,0.014891448,0.014986288
88,00000057,0.014196708,0.01420204
89,00000058,0.012741974,0.014558134
90,00000059,0.013458973,0.014945436
91,0000005A,0.013994379,0.013498814
92,0000005B,0.013288419,0.014098787
93,0000005C,0.013181891,0.013200013
94,0000005D,0.012568149,0.013696202
95,0000005E,0.013305441,0.013279338
96,0000005F,0.013352414,0.01367486
97,00000060,0.013373514,0.013258126
98,00000061,0.012969788,0.01343925
99,00000062,0.011425617,0.013213117
100,00000063,0.01130036,0.013421714
101,00000064,0.011959264,0.012343328
102,00000065,0.012770012,0.012340007
103,00000066,0.011714304,0.012702309
104,00000067,0.011782416,0.012368097
105,00000068,0.012993594,0.012141769
106,00000069,0.012326716,0.012616837
107,0000006A,0.012185479,0.012506549
108,0000006B,0.011087288,0.012203831
109,0000006C,0.010719262,0.012704017
110,0000006D,0.010575857,0.012279194
111,0000006E,0.010736551,0.011886428
112,0000006F,0.009388894,0.011247031
113,00000070,0.010891556,0.011178774
114,00000071,0.011631334,0.010829977
115,00000072,0.011164832,0.011838648
116,00000073,0.010172628,0.011019506
117,00000074,0.011492612,0.011354657
118,00000075,0.010920663,0.010932679
119,00000076,0.011446331,0.011144338
120,00000077,0.010381805,0.011078824
121,00000078,0.008884773,0.010083403
122,00000079,0.008928137,0.010526977
123,0000007A,0.00985856,0.009766868
124,0000007B,0.011701836,0.010252163
125,0000007C,0.010168213,0.010465453
126,0000007D,0.008111868,0.010424785
127,0000007E,0.009202633,0.010064651
128,0000007F,0.010345861,0.01006614
129,00000080,0.011255127,0.0102644
130,00000081,0.010484123,0.01037023
131,00000082,0.008212028,0.009172006
132,00000083,0.008934835,0.00884794
133,00000084,0.009317191,0.009007809
134,00000085,0.009288467,0.009179325
135,00000086,0.00870249,0.009497037
136,00000087,0.008258583,0.009558997
137,00000088,0.009111141,0.009451595
138,00000089,0.008818016,0.00896744
139,0000008A,0.008628777,0.009250074
140,0000008B,0.008672953,0.009105877
141,0000008C,0.006934838,0.007754748
142,0000008D,0.007184966,0.007742207
143,0000008E,0.006504335,0.007634228
144,0000008F,0.006915691,0.008012388
145,00000090,0.006836472,0.008050618
146,00000091,0.007461111,0.008004053
147,00000092,0.007488347,0.008048285
148,00000093,0.00607695,0.00788264
149,00000094,0.008088524,0.008459972
150,00000095,0.00741819,0.007470754
151,00000096,0.006384337,0.006819173
152,00000097,0.004152747,0.00745033
153,00000098,0.006553611,0.006731834
154,00000099,0.005093559,0.006622906
155,0000009A,0.005714825,0.006798022
156,0000009B,0.007455092,0.007030376
157,0000009C,0.006398459,0.007268768
158,0000009D,0.00485562,0.006039466
159,0000009E,0.005217672,0.006946093
