"","index","birth_rate_end_mean"
"1","00000000","10"
"2","00000001","9.642906652575"
"3","00000002","9.877479064611"
"4","00000003","10"
"5","00000004","9.477066050069"
"6","00000005","10"
"7","00000006","10"
"8","00000007","10"
"9","00000008","10"
"10","00000009","10"
"11","0000000A","9.99994524894"
"12","0000000B","10"
"13","0000000C","10"
"14","0000000D","9.961486271139"
"15","0000000E","9.654492740553"
"16","0000000F","9.956294457567"
"17","00000010","10"
"18","00000011","9.305821734449"
"19","00000012","9.788245271731"
"20","00000013","9.839731389098"
"21","00000014","9.947134747122"
"22","00000015","10"
"23","00000016","9.789339665689"
"24","00000017","9.693820853493"
"25","00000018","9.996630463724"
"26","00000019","9.918504952686"
"27","0000001A","9.785742692545"
"28","0000001B","9.828697868898"
"29","0000001C","10"
"30","0000001D","9.822053213169"
"31","0000001E","10"
"32","0000001F","9.619820041607"
"33","00000020","9.433311151805"
"34","00000021","9.863630951922"
"35","00000022","9.476979338097"
"36","00000023","10"
"37","00000024","10"
"38","00000025","9.996700317522"
"39","00000026","9.869806475894"
"40","00000027","9.721717257275"
"41","00000028","9.306006395196"
"42","00000029","9.54823503865799"
"43","0000002A","9.663945815163"
"44","0000002B","9.964074661629"
"45","0000002C","9.458100629227"
"46","0000002D","9.829043722365"
"47","0000002E","9.565519322961"
"48","0000002F","10"
"49","00000030","9.992778937932"
"50","00000031","10"
"51","00000032","9.95769664485"
"52","00000033","9.684967707332"
"53","00000034","9.683128515182"
"54","00000035","10"
"55","00000036","10"
"56","00000037","10"
"57","00000038","10"
"58","00000039","10"
"59","0000003A","9.651688361977"
"60","0000003B","9.877345045118"
"61","0000003C","9.66522162297"
"62","0000003D","9.953590952169"
"63","0000003E","9.967273358108"
"64","0000003F","9.99999605108"
"65","00000040","10"
"66","00000041","10"
"67","00000042","10"
"68","00000043","10"
"69","00000044","10"
"70","00000045","10"
"71","00000046","9.88186800895801"
"72","00000047","9.545915411578"
"73","00000048","9.794582406215"
"74","00000049","9.732525919502"
"75","0000004A","9.792445802643"
"76","0000004B","10"
"77","0000004C","9.686768549753"
"78","0000004D","10"
"79","0000004E","9.992990044972"
"80","0000004F","9.90810859232"
"81","00000050","10"
"82","00000051","10"
"83","00000052","9.999967142781"
"84","00000053","10"
"85","00000054","9.569459217335"
"86","00000055","9.970396190138"
"87","00000056","9.971533982291"
"88","00000057","9.741451659564"
"89","00000058","9.442417867487"
"90","00000059","10"
"91","0000005A","10"
"92","0000005B","9.9804999541"
"93","0000005C","9.39602148174401"
"94","0000005D","9.940587302603"
"95","0000005E","9.96865024081"
"96","0000005F","10"
"97","00000060","9.71378571728599"
"98","00000061","10"
"99","00000062","9.807156820395"
"100","00000063","10"
"101","00000064","9.844876035719"
"102","00000065","9.99996026048"
"103","00000066","10"
"104","00000067","9.9999936268"
"105","00000068","9.882013167548"
"106","00000069","9.823913516645"
"107","0000006A","9.869288485818"
"108","0000006B","10"
"109","0000006C","9.686604658622"
"110","0000006D","9.627530587283"
"111","0000006E","10"
"112","0000006F","9.860969913305"
"113","00000070","9.772879726203"
"114","00000071","10"
"115","00000072","9.999981758112"
"116","00000073","10"
"117","00000074","9.896023295899"
"118","00000075","9.583767817667"
"119","00000076","9.996512312653"
"120","00000077","10"
"121","00000078","10"
"122","00000079","9.99421544681"
"123","0000007A","9.779105029204"
"124","0000007B","9.868391514574"
"125","0000007C","9.620994730832"
"126","0000007D","10"
"127","0000007E","10"
"128","0000007F","10"
"129","00000080","10"
"130","00000081","9.65010271300501"
"131","00000082","10"
"132","00000083","10"
