,index,mu_driver_birth,s_driver_birth
1,00000000a,1e-05,0.15
2,00000001a,1e-05,0.15
3,00000002a,1e-05,0.15
4,00000003a,1e-05,0.15
5,00000004a,1e-05,0.15
6,00000005a,1e-05,0.15
7,00000006a,1e-05,0.15
8,00000007a,1e-05,0.15
9,00000008a,1e-05,0.15
10,00000009a,1e-05,0.15
11,0000000Aa,1e-05,0.15
12,0000000Ba,1e-05,0.15
13,0000000Ca,1e-05,0.15
14,0000000Da,1e-05,0.15
15,0000000Ea,1e-05,0.15
16,0000000Fa,1e-05,0.15
17,00000010a,1e-05,0.15
18,00000011a,1e-05,0.15
19,00000012a,1e-05,0.15
20,00000013a,1e-05,0.15
21,00000014a,1e-05,0.15
22,00000015a,1e-05,0.15
23,00000016a,1e-05,0.15
24,00000017a,1e-05,0.15
25,00000018a,1e-05,0.15
26,00000019a,1e-05,0.15
27,0000001Aa,1e-05,0.15
28,0000001Ba,1e-05,0.15
29,0000001Ca,1e-05,0.15
30,0000001Da,1e-05,0.15
31,0000001Ea,1e-05,0.15
32,0000001Fa,1e-05,0.15
33,00000020a,1e-05,0.15
34,00000021a,1e-05,0.15
35,00000022a,1e-05,0.15
36,00000023a,1e-05,0.15
37,00000024a,1e-05,0.15
38,00000025a,1e-05,0.15
39,00000026a,1e-05,0.15
40,00000027a,1e-05,0.15
41,00000028a,1e-05,0.15
42,00000029a,1e-05,0.15
43,0000002Aa,1e-05,0.15
44,0000002Ba,1e-05,0.15
45,0000002Ca,1e-05,0.15
46,0000002Da,1e-05,0.15
47,0000002Ea,1e-05,0.15
48,0000002Fa,1e-05,0.15
49,00000030a,1e-05,0.15
50,00000031a,1e-05,0.15
51,00000032a,1e-05,0.15
52,00000033a,1e-05,0.15
53,00000034a,1e-05,0.15
54,00000035a,1e-05,0.15
55,00000036a,1e-05,0.15
56,00000037a,1e-05,0.15
57,00000038a,1e-05,0.15
58,00000039a,1e-05,0.15
59,0000003Aa,1e-05,0.15
60,0000003Ba,1e-05,0.15
61,0000003Ca,1e-05,0.15
62,0000003Da,1e-05,0.15
63,0000003Ea,1e-05,0.15
64,0000003Fa,1e-05,0.15
65,00000040a,1e-05,0.15
66,00000041a,1e-05,0.15
67,00000042a,1e-05,0.15
68,00000043a,1e-05,0.15
69,00000044a,1e-05,0.15
70,00000045a,1e-05,0.15
71,00000046a,1e-05,0.15
72,00000047a,1e-05,0.15
73,00000048a,1e-05,0.15
74,00000049a,1e-05,0.15
75,0000004Aa,1e-05,0.15
76,0000004Ba,1e-05,0.15
77,0000004Ca,1e-05,0.15
78,0000004Da,1e-05,0.15
79,0000004Ea,1e-05,0.15
80,0000004Fa,1e-05,0.15
81,00000050a,1e-05,0.15
82,00000051a,1e-05,0.15
83,00000052a,1e-05,0.15
84,00000053a,1e-05,0.15
85,00000054a,1e-05,0.15
86,00000055a,1e-05,0.15
87,00000056a,1e-05,0.15
88,00000057a,1e-05,0.15
89,00000058a,1e-05,0.15
90,00000059a,1e-05,0.15
91,0000005Aa,1e-05,0.15
92,0000005Ba,1e-05,0.15
93,0000005Ca,1e-05,0.15
94,0000005Da,1e-05,0.15
95,0000005Ea,1e-05,0.15
96,0000005Fa,1e-05,0.15
97,00000060a,1e-05,0.15
98,00000061a,1e-05,0.15
99,00000062a,1e-05,0.15
100,00000063a,1e-05,0.15
101,00000064a,1e-05,0.15
102,00000065a,1e-05,0.15
103,00000066a,1e-05,0.15
104,00000067a,1e-05,0.15
105,00000068a,1e-05,0.15
106,00000069a,1e-05,0.15
107,0000006Aa,1e-05,0.15
108,0000006Ba,1e-05,0.15
109,0000006Ca,1e-05,0.15
110,0000006Da,1e-05,0.15
111,0000006Ea,1e-05,0.15
112,0000006Fa,1e-05,0.15
113,00000070a,1e-05,0.15
114,00000071a,1e-05,0.15
115,00000072a,1e-05,0.15
116,00000073a,1e-05,0.15
117,00000074a,1e-05,0.15
118,00000075a,1e-05,0.15
119,00000076a,1e-05,0.15
120,00000077a,1e-05,0.15
121,00000078a,1e-05,0.15
122,00000079a,1e-05,0.15
123,0000007Aa,1e-05,0.15
124,0000007Ba,1e-05,0.15
125,0000007Ca,1e-05,0.15
126,0000007Da,1e-05,0.15
127,0000007Ea,1e-05,0.15
128,0000007Fa,1e-05,0.15
129,00000080a,1e-05,0.15
130,00000081a,1e-05,0.15
131,00000082a,1e-05,0.15
132,00000083a,1e-05,0.15
133,00000084a,1e-05,0.15
134,00000085a,1e-05,0.15
135,00000086a,1e-05,0.15
136,00000087a,1e-05,0.15
137,00000088a,1e-05,0.15
138,00000089a,1e-05,0.15
139,0000008Aa,1e-05,0.15
140,0000008Ba,1e-05,0.15
141,0000008Ca,1e-05,0.15
142,0000008Da,1e-05,0.15
143,0000008Ea,1e-05,0.15
144,0000008Fa,1e-05,0.15
145,00000090a,1e-05,0.15
146,00000091a,1e-05,0.15
147,00000092a,1e-05,0.15
148,00000093a,1e-05,0.15
149,00000094a,1e-05,0.15
150,00000095a,1e-05,0.15
151,00000096a,1e-05,0.15
152,00000097a,1e-05,0.15
153,00000098a,1e-05,0.15
154,00000099a,1e-05,0.15
155,0000009Aa,1e-05,0.15
