Speed ratio,2D,3D
1.2,0.0179360408333277+6.35354762866556e-14i,0.00239675699476546
1.4,0.0554100546784322+2.25962553447859e-13i,0.0129543109633218
1.6,0.0992110013602403+2.79670258242082e-13i,0.0309971876690486
1.8,0.143799990393761+2.26488091800672e-13i,0.0540685140503777
2,0.186809318776191+3.58728073545453e-13i,0.080053126301803
2.2,0.2272821176695+2.96644502550911e-13i,0.107442133869644
2.4,0.264914743166198+3.58211111565042e-13i,0.135228568878746
2.6,0.299709161509428+5.50004781348634e-13i,0.162764599352426
2.8,0.331806303323615+5.32273693331067e-13i,0.189646891095283
3,0.361404028354634+4.16643694380339e-13i,0.21563519599281
3.2,0.38871638893234+6.62897241666667e-13i,0.240596936098275
3.4,0.413953711864972+6.92539337688205e-13i,0.264470059375926
3.6,0.437313349410101+6.54566447043304e-13i,0.287238261835008
3.8,0.458975981484166+3.47177673238177e-13i,0.308914465306025
4,0.479104759147648+8.43007636898274e-13i,0.329529793677814
4.2,0.497845869118851+8.45513200507376e-13i,0.349126217886494
4.4,0.515329757392553+9.95453531758983e-13i,0.367751658472566
4.6,0.531672602351605+5.96224243537695e-13i,0.385456740111631
4.8,0.54697782777849+9.52188671101898e-13i,0.402292663071243
5,0.561337546229174+9.48488916304772e-13i,0.418309831195495
5.2,0.574833890436155+7.15927334754351e-13i,0.433556989789402
5.4,0.58754019463354+1.12440709070664e-12i,0.448080716040643
5.6,0.599522062250946+1.13519253161802e-12i,0.461925138015958
5.8,0.610838289804271+8.81265594327462e-13i,0.475131815771811
6,0.621541686145626+1.10867262312863e-12i,0.487739724340806
6.2,0.631679756617373+8.60816052137092e-13i,0.499785304383981
6.4,0.641295370974916+8.89899716280438e-13i,0.511302556984779
6.6,0.650427252890836+9.98962085775849e-13i,0.522323161171526
6.8,0.659110474574221+1.25091517362113e-12i,0.532876607394326
7,0.66737686144344+9.04011872942819e-13i,0.542990334702695
7.2,0.675255347971338+1.20035474057656e-12i,0.552689867039986
7.4,0.682772296094394+9.60845224330822e-13i,0.561998952219174
7.6,0.689951765117692+9.22681659076766e-13i,0.570939685926166
7.8,0.69681575133169+8.78315035006035e-13i,0.579532637171875
8,0.703384409424448+1.17753028032069e-12i,0.587796962313532
8.2,0.709676228060215+8.53382659070333e-13i,0.595750511606561
8.4,0.715708202621953+1.24940854931938e-12i,0.603409930305706
8.6,0.721495978769585+9.7446086245761e-13i,0.610790749536496
8.8,0.727053982190774+9.5525285389309e-13i,0.617907471587189
9,0.732395534331446+9.0799364524345e-13i,0.624773649060967
9.2,0.737532955319633+8.27956718003837e-13i,0.63140195463031
9.4,0.742477654182376+8.73908263570131e-13i,0.63780425156336
9.6,0.747240211646053+1.20153922360872e-12i,0.6439916499254
9.8,0.75183045360414+1.09613923800605e-12i,0.649974565661091
10,0.756257515852154+8.06816546812033e-13i,0.655762770319133
