,index,log2_deme,migration_rate,s_driver_birth
0,00002127,6,0.05,1.2
1,000025D3,7,0.01,1.2
2,00001A18,5,0.025,1.2
3,00000072,1,0.01,0.9
4,00003063,8,0.5,0.2
5,00000321,1,0.25,2.0
6,000007DD,2,0.05,1.9
7,000004B8,1,0.75,2.0
8,00002337,6,0.5,1.9
9,000008CF,2,0.1,1.5
10,00002CD7,8,0.025,1.3
11,00002D6F,8,0.05,1.7
12,00002CB9,8,0.025,1.6
13,00001A9F,5,0.05,1.9
14,00002156,6,0.05,0.7
15,000012C6,4,0.01,2.0
16,00000811,2,0.05,1.4
17,00001D4B,5,0.5,1.1
18,00001F13,5,1.0,0.5
19,00002541,6,1.0,0.7
20,00002313,6,0.25,0.3
21,0000306A,8,0.5,0.1
22,00002D48,8,0.025,0.1
23,00001535,4,0.1,1.8
24,00002691,7,0.025,1.3
25,000010CE,3,0.5,1.0
26,00000DA4,3,0.025,1.1
27,00000AED,2,0.5,0.1
28,000000C9,1,0.025,2.0
29,00003156,8,1.0,1.7
30,0000142B,4,0.025,0.4
31,00002D6C,8,0.05,1.8
32,000026E9,7,0.025,0.4
33,000027A1,7,0.05,0.6
34,000026D9,7,0.025,0.6
35,000025CD,7,0.01,1.3
36,0000016B,1,0.025,0.4
37,0000183E,4,1.0,2.0
38,00002330,6,0.5,2.0
39,00002C3D,8,0.01,0.8
40,00002F17,8,0.25,1.5
41,00002CA6,8,0.025,1.7
42,00002919,7,0.25,0.8
43,00000419,1,0.5,1.6
44,00002890,7,0.1,0.2
45,00001E4B,5,0.75,0.5
46,00001E39,5,0.75,0.7
47,00001268,3,1.0,0.9
48,000003EF,1,0.5,2.0
49,00002F34,8,0.25,1.2
50,000002C5,1,0.1,1.0
51,000015A6,4,0.1,0.6
52,00002F2A,8,0.25,1.3
53,00000FA8,3,0.25,2.0
54,00000727,2,0.025,1.7
55,00002FB9,8,0.5,1.9
56,00002791,7,0.05,0.8
57,000003D5,1,0.25,0.2
58,000007DA,2,0.05,1.9
59,00002922,7,0.25,0.7
60,00000017,1,0.01,1.8
61,00002BE9,8,0.01,1.6
62,000006C4,2,0.01,0.7
63,000009F8,2,0.25,0.5
64,00002F24,8,0.25,1.4
65,00002088,6,0.025,0.8
66,00001240,3,1.0,1.3
67,0000271A,7,0.05,1.9
68,000014A2,4,0.05,1.2
69,00000213,1,0.05,0.7
70,00000F44,3,0.1,1.0
71,00000635,1,1.0,0.2
72,0000200B,6,0.025,2.0
73,000003A3,1,0.25,0.7
74,00001AA8,5,0.05,1.8
75,000028BC,7,0.25,1.8
76,0000065C,2,0.01,1.8
77,00002900,7,0.25,1.1
78,00002465,6,0.75,0.9
79,00000900,2,0.1,1.0
80,00001CA6,5,0.25,0.7
81,00001D08,5,0.5,1.7
82,0000020E,1,0.05,0.8
83,000024F9,6,1.0,1.4
84,000030CD,8,0.75,1.1
85,00001E5F,5,0.75,0.3
86,00001C44,5,0.25,1.7
87,00002972,7,0.5,1.9
88,00000A7D,2,0.5,1.2
89,000010BC,3,0.5,1.2
90,00000184,1,0.025,0.2
91,00003144,8,1.0,1.9
92,00001557,4,0.1,1.4
93,00002083,6,0.025,0.8
94,000024E8,6,1.0,1.6
95,00000908,2,0.1,0.9
96,000000D3,1,0.025,1.9
97,0000019D,1,0.05,1.9
98,000023C1,6,0.5,0.5
99,00001B5A,5,0.1,2.0
100,0000287E,7,0.1,0.4
101,000003E4,1,0.25,0.1
102,0000205B,6,0.025,1.2
103,0000077E,2,0.025,0.9
104,00002957,7,0.25,0.2
105,0000166A,4,0.25,0.7
106,0000188C,4,1.0,1.2
107,00002840,7,0.1,1.0
108,00000F3E,3,0.1,1.0
109,00000711,2,0.025,2.0
110,00001FEB,6,0.01,0.3
111,00002EC1,8,0.1,0.4
112,00002A38,7,0.75,2.0
113,00000B11,2,0.75,1.7
114,0000163F,4,0.25,1.1
115,00003119,8,0.75,0.4
116,0000073A,2,0.025,1.5
117,00001DCE,5,0.75,1.7
118,000023D8,6,0.5,0.3
119,000015CB,4,0.1,0.3
120,00001425,4,0.025,0.5
121,000028BF,7,0.25,1.7
122,00001DD3,5,0.75,1.7
123,00002EBC,8,0.1,0.4
124,000022D0,6,0.25,0.9
125,000007E9,2,0.05,1.8
126,00001A56,5,0.025,0.6
127,00002A14,7,0.5,0.3
128,00002DCC,8,0.05,0.8
129,000029DC,7,0.5,0.9
130,00000745,2,0.025,1.4
131,00001623,4,0.25,1.4
132,00002C52,8,0.01,0.6
133,0000205C,6,0.025,1.2
134,00001EDB,5,1.0,1.1
135,000030FD,8,0.75,0.6
136,000010AC,3,0.5,1.4
137,0000061D,1,1.0,0.4
138,00002EC5,8,0.1,0.3
139,0000214E,6,0.05,0.8
140,00003128,8,0.75,0.2
141,0000049B,1,0.5,0.3
142,00000389,1,0.25,1.0
143,00000360,1,0.25,1.4
144,0000094C,2,0.1,0.2
145,00000270,1,0.1,1.8
146,00001156,3,0.75,1.7
147,00001887,4,1.0,1.3
148,00000376,1,0.25,1.2
149,000001D2,1,0.05,1.4
150,00001B85,5,0.1,1.6
151,00000CEE,3,0.01,0.9
152,000014B7,4,0.05,1.0
153,00000E83,3,0.05,0.9
154,00000ACB,2,0.5,0.4
155,00002C85,8,0.01,0.1
156,00000D87,3,0.025,1.4
157,0000238B,6,0.5,1.1
158,00000016,1,0.01,1.8
159,00000BB9,2,1.0,2.0
160,0000288D,7,0.1,0.2
161,00000AD1,2,0.5,0.4
162,00000EAC,3,0.05,0.5
163,000009B0,2,0.25,1.2
164,00002781,7,0.05,0.9
165,00000421,1,0.5,1.5
166,000008B3,2,0.1,1.8
167,00001DB4,5,0.75,2.0
168,000000D9,1,0.025,1.9
169,00001091,3,0.5,1.6
170,000009C1,2,0.25,1.1
171,00001DB5,5,0.75,2.0
172,0000169D,4,0.25,0.2
173,000019A5,5,0.01,0.4
174,00001782,4,0.75,1.9
175,00002571,6,1.0,0.2
176,0000197D,5,0.01,0.8
177,00001515,4,0.05,0.1
178,000025F7,7,0.01,0.9
179,00002171,6,0.05,0.4
180,00002116,6,0.05,1.3
181,00000F64,3,0.1,0.6
182,00002E7B,8,0.1,1.1
183,00000140,1,0.025,0.8
184,0000120B,3,1.0,1.9
185,000030FF,8,0.75,0.6
186,000007C4,2,0.025,0.2
187,00000F35,3,0.1,1.1
188,00000439,1,0.5,1.2
189,00002EFB,8,0.25,1.8
190,00001944,5,0.01,1.4
191,00001E8A,5,1.0,1.9
192,00001669,4,0.25,0.7
193,00002C70,8,0.01,0.3
194,0000021A,1,0.05,0.7
195,00000CB6,3,0.01,1.5
196,0000167F,4,0.25,0.5
197,00001942,5,0.01,1.4
198,0000060B,1,1.0,0.6
199,00001016,3,0.25,0.9
200,00002D66,8,0.05,1.8
201,00002A46,7,0.75,1.8
202,00002C35,8,0.01,0.9
203,00002B4F,7,1.0,1.2
204,00000946,2,0.1,0.3
205,00000587,1,1.0,1.9
206,000017FE,4,0.75,0.6
207,00002BEB,8,0.01,1.6
208,00003008,8,0.5,1.1
209,00000222,1,0.05,0.6
210,000005AF,1,1.0,1.5
211,00001997,5,0.01,0.5
212,00000295,1,0.1,1.4
213,000002E9,1,0.1,0.6
214,000002D5,1,0.1,0.8
215,00001633,4,0.25,1.2
216,0000272A,7,0.05,1.8
217,00001B86,5,0.1,1.6
218,00000B6B,2,0.75,0.8
219,0000240F,6,0.75,1.7
220,00000090,1,0.01,0.6
221,00000714,2,0.025,1.9
222,000003B6,1,0.25,0.5
223,00002711,7,0.05,2.0
224,00002ADC,7,0.75,0.3
225,00002A8A,7,0.75,1.1
226,000013F7,4,0.025,0.9
227,000022D9,6,0.25,0.8
228,000001BA,1,0.05,1.6
229,000009A5,2,0.25,1.4
230,000005BC,1,1.0,1.4
231,00000CA7,3,0.01,1.7
232,00001654,4,0.25,0.9
233,00002201,6,0.1,1.0
234,000010EC,3,0.5,0.7
235,00000551,1,0.75,0.4
236,00001E35,5,0.75,0.7
237,00002B50,7,1.0,1.2
238,000030BB,8,0.75,1.3
239,000007CE,2,0.025,0.1
240,00000BFC,2,1.0,1.4
241,00002A89,7,0.75,1.2
242,0000311A,8,0.75,0.3
243,000015EB,4,0.25,1.9
244,00000456,1,0.5,0.9
245,00000412,1,0.5,1.6
246,00001676,4,0.25,0.5
247,00002400,6,0.75,1.9
248,00000625,1,1.0,0.3
249,00001A59,5,0.025,0.6
250,0000141F,4,0.025,0.5
251,000025F3,7,0.01,0.9
252,000027E5,7,0.1,1.9
253,000028DD,7,0.25,1.4
254,000000D8,1,0.025,1.9
255,00001273,3,1.0,0.8
256,00001745,4,0.5,0.5
257,00002FBD,8,0.5,1.8
258,000024E5,6,1.0,1.6
259,000014F8,4,0.05,0.4
260,00001E91,5,1.0,1.8
261,00002CFC,8,0.025,0.9
262,00002C7C,8,0.01,0.2
263,00000EAE,3,0.05,0.5
264,000024B0,6,0.75,0.1
265,0000016A,1,0.025,0.4
266,00000528,1,0.75,0.8
267,000011A6,3,0.75,0.9
268,000023E4,6,0.5,0.2
269,000006E8,2,0.01,0.4
270,00001B5D,5,0.1,2.0
271,00001408,4,0.025,0.8
272,000023B2,6,0.5,0.7
273,0000022A,1,0.05,0.5
274,000011CF,3,0.75,0.5
275,00001611,4,0.25,1.6
276,00000E6D,3,0.05,1.1
277,000017B8,4,0.75,1.3
278,000001AA,1,0.05,1.8
279,00000ABA,2,0.5,0.6
280,00002278,6,0.25,1.8
281,00001A16,5,0.025,1.3
282,00001AD9,5,0.05,1.3
283,00003102,8,0.75,0.6
284,00001746,4,0.5,0.5
285,000008D3,2,0.1,1.5
286,000016D9,4,0.5,1.6
287,00002796,7,0.05,0.7
288,0000291B,7,0.25,0.8
289,00002FD5,8,0.5,1.6
290,00002204,6,0.1,1.0
291,0000036B,1,0.25,1.3
292,00002896,7,0.1,0.1
293,0000034A,1,0.25,1.6
294,00002F10,8,0.25,1.6
295,00002381,6,0.5,1.2
296,0000223D,6,0.1,0.4
297,0000170F,4,0.5,1.0
298,00000EC2,3,0.05,0.3
