,index,mu_driver_birth,s_driver_birth
0,00009511,1e-06,0.2
1,000070F7,1e-05,0.4
2,000033F9,1e-03,0.3
3,00002127,1e-03,2.0
4,000025D3,1e-03,1.5
5,00009BEC,1e-06,0.1
6,00001A18,1e-02,0.2
7,00007A11,1e-05,0.1
8,00008F0B,1e-06,0.4
9,00007C18,1e-05,0.1
10,00003C61,1e-03,0.1
11,00000072,1e-02,2.0
12,00003063,1e-03,0.4
13,00005C7A,1e-04,0.1
14,000094AC,1e-06,0.2
15,00006AAD,1e-05,0.5
16,00006A92,1e-05,0.5
17,0000336F,1e-03,0.3
18,00007373,1e-05,0.3
19,00003E98,1e-04,2.0
20,00007519,1e-05,0.3
21,00005652,1e-04,0.2
22,00007036,1e-05,0.4
23,00005B72,1e-04,0.1
24,00006389,1e-05,1.5
25,00003D48,1e-03,0.1
26,00008A3C,1e-06,0.5
27,00000321,1e-02,2.0
28,000007DD,1e-02,1.0
29,00005C07,1e-04,0.1
30,00007E6C,1e-06,2.0
31,000004B8,1e-02,1.5
32,00002337,1e-03,1.5
33,000008CF,1e-02,1.0
34,00002CD7,1e-03,0.5
35,0000528C,1e-04,0.3
36,00002D6F,1e-03,0.5
37,00007A15,1e-05,0.1
38,00007138,1e-05,0.4
39,00007341,1e-05,0.3
40,00007176,1e-05,0.3
41,000060C2,1e-05,2.0
42,00005FFA,1e-05,2.0
43,00002CB9,1e-03,0.5
44,0000599C,1e-04,0.2
45,00006400,1e-05,1.5
46,00001A9F,1e-02,0.2
47,00002156,1e-03,2.0
48,00003EE4,1e-04,2.0
49,00004366,1e-04,1.5
50,000012C6,1e-02,0.4
51,0000756C,1e-05,0.2
52,00000811,1e-02,1.0
53,000059B3,1e-04,0.2
54,00001D4B,1e-02,0.1
55,00001F13,1e-02,0.1
56,00003ECE,1e-04,2.0
57,00002541,1e-03,1.5
58,00007159,1e-05,0.3
59,00002313,1e-03,2.0
60,0000791C,1e-05,0.1
61,0000679D,1e-05,1.0
62,000091A4,1e-06,0.3
63,00006351,1e-05,1.5
64,00006023,1e-05,2.0
65,00004B33,1e-04,0.5
66,00006014,1e-05,2.0
67,00006556,1e-05,1.5
68,0000306A,1e-03,0.4
69,00005C63,1e-04,0.1
70,00002D48,1e-03,0.5
71,00009889,1e-06,0.1
72,00001535,1e-02,0.3
73,00007D9B,1e-06,2.0
74,00002691,1e-03,1.5
75,000010CE,1e-02,0.4
76,00000DA4,1e-02,0.5
77,0000453F,1e-04,1.5
78,0000880B,1e-06,1.0
79,00000AED,1e-02,1.0
80,00008B8E,1e-06,0.5
81,000000C9,1e-02,2.0
82,00003C70,1e-03,0.1
83,00003F38,1e-04,2.0
84,000032C8,1e-03,0.3
85,00008061,1e-06,2.0
86,00003C6A,1e-03,0.1
87,00003156,1e-03,0.4
88,000043E0,1e-04,1.5
89,00006DC4,1e-05,0.4
90,0000142B,1e-02,0.3
91,000045CE,1e-04,1.5
92,000044B4,1e-04,1.5
93,0000917A,1e-06,0.3
94,00006912,1e-05,1.0
95,000091A2,1e-06,0.3
96,00007DEE,1e-06,2.0
97,0000434C,1e-04,1.5
